"household_id","province","urban_rural","household_size","income_category","enumeration_area","dwelling_type"
53,"Gauteng","Rural",3,"High","EA_0464","Informal"
54,"Gauteng","Urban",6,"Low","EA_0130","Flat"
55,"Western Cape","Urban",2,"Medium","EA_0243","House"
56,"KwaZulu-Natal","Urban",7,"Low","EA_0308","House"
57,"KwaZulu-Natal","Urban",7,"Low","EA_0005","House"
58,"Western Cape","Urban",3,"Low","EA_0302","Flat"
59,"Eastern Cape","Urban",4,"Medium","EA_0442","Flat"
60,"Limpopo","Rural",7,"Medium","EA_0290","House"
61,"Gauteng","Urban",3,"Low","EA_0320","House"
62,"Eastern Cape","Rural",3,"High","EA_0086","House"
63,"Free State","Rural",3,"Medium","EA_0484","Informal"
64,"Gauteng","Urban",3,"Low","EA_0377","House"
65,"Gauteng","Urban",8,"Medium","EA_0209","Flat"
66,"Eastern Cape","Urban",2,"Medium","EA_0427","Flat"
67,"Eastern Cape","Urban",5,"Low","EA_0357","House"
68,"KwaZulu-Natal","Urban",6,"Low","EA_0226","Flat"
69,"KwaZulu-Natal","Urban",3,"Low","EA_0283","Townhouse"
70,"Gauteng","Urban",1,"Medium","EA_0465","Informal"
71,"Gauteng","Rural",5,"Medium","EA_0156","House"
72,"Northern Cape","Urban",5,"Low","EA_0498","Informal"
73,"Limpopo","Rural",5,"Low","EA_0146","Traditional"
74,"KwaZulu-Natal","Rural",4,"High","EA_0453","Informal"
75,"Gauteng","Rural",3,"Low","EA_0434","Informal"
76,"Western Cape","Rural",5,"Medium","EA_0269","Traditional"
77,"Mpumalanga","Urban",4,"Low","EA_0224","House"
78,"Limpopo","Rural",9,"Low","EA_0456","House"
79,"Mpumalanga","Urban",4,"Low","EA_0371","Townhouse"
80,"Western Cape","Rural",6,"Low","EA_0026","Traditional"
81,"North West","Urban",8,"Medium","EA_0215","Informal"
82,"Gauteng","Urban",5,"Medium","EA_0357","Townhouse"
83,"North West","Urban",5,"Low","EA_0078","House"
84,"Gauteng","Urban",8,"Low","EA_0141","Flat"
85,"KwaZulu-Natal","Urban",3,"High","EA_0069","Flat"
86,"KwaZulu-Natal","Rural",5,"Low","EA_0048","House"
87,"KwaZulu-Natal","Urban",7,"High","EA_0174","House"
88,"Gauteng","Rural",2,"High","EA_0181","House"
89,"Gauteng","Rural",5,"Medium","EA_0348","House"
90,"Western Cape","Rural",2,"Medium","EA_0387","Traditional"
91,"Mpumalanga","Urban",5,"Medium","EA_0399","House"
92,"Free State","Urban",4,"High","EA_0446","House"
93,"KwaZulu-Natal","Urban",1,"Low","EA_0125","Informal"
94,"North West","Rural",1,"Medium","EA_0377","Informal"
95,"Western Cape","Urban",6,"Medium","EA_0188","Townhouse"
96,"Limpopo","Urban",4,"Low","EA_0441","Informal"
97,"Mpumalanga","Urban",4,"Medium","EA_0035","Townhouse"
98,"Eastern Cape","Rural",5,"Medium","EA_0009","House"
99,"Limpopo","Urban",5,"Medium","EA_0121","House"
100,"KwaZulu-Natal","Rural",3,"Low","EA_0341","House"
101,"Limpopo","Urban",4,"Low","EA_0024","House"
102,"Free State","Rural",2,"Low","EA_0263","House"
103,"Gauteng","Rural",3,"Low","EA_0424","House"
104,"Mpumalanga","Rural",6,"Low","EA_0373","Traditional"
105,"KwaZulu-Natal","Urban",5,"Low","EA_0317","House"
106,"Mpumalanga","Urban",3,"Medium","EA_0325","Flat"
107,"Mpumalanga","Urban",4,"High","EA_0176","House"
108,"KwaZulu-Natal","Urban",5,"Medium","EA_0431","House"
109,"Limpopo","Rural",3,"High","EA_0264","Traditional"
110,"North West","Urban",7,"Medium","EA_0402","House"
111,"Mpumalanga","Urban",3,"Medium","EA_0457","Flat"
112,"Gauteng","Rural",5,"Low","EA_0386","House"
113,"Eastern Cape","Urban",5,"Low","EA_0480","Flat"
114,"Mpumalanga","Urban",3,"High","EA_0479","House"
115,"Gauteng","Rural",4,"Low","EA_0156","Informal"
116,"Gauteng","Rural",4,"Medium","EA_0280","Traditional"
117,"Gauteng","Urban",3,"Medium","EA_0450","House"
118,"Eastern Cape","Rural",4,"Low","EA_0308","House"
119,"Western Cape","Rural",4,"Medium","EA_0411","Traditional"
120,"Gauteng","Rural",4,"Low","EA_0007","House"
121,"Eastern Cape","Rural",8,"Low","EA_0454","House"
122,"Limpopo","Urban",4,"Low","EA_0286","Informal"
123,"Eastern Cape","Urban",3,"Medium","EA_0109","Informal"
124,"Western Cape","Urban",2,"Medium","EA_0276","House"
125,"Limpopo","Urban",4,"Medium","EA_0366","House"
126,"Eastern Cape","Urban",3,"Low","EA_0164","Flat"
127,"North West","Urban",3,"Medium","EA_0054","House"
128,"North West","Rural",11,"Low","EA_0262","House"
129,"Gauteng","Urban",3,"Medium","EA_0129","Flat"
130,"Eastern Cape","Rural",10,"Low","EA_0424","Informal"
131,"Gauteng","Rural",4,"Medium","EA_0039","House"
132,"Limpopo","Rural",5,"High","EA_0043","House"
133,"Gauteng","Urban",5,"Low","EA_0388","Informal"
134,"KwaZulu-Natal","Urban",6,"Low","EA_0058","Informal"
135,"KwaZulu-Natal","Urban",5,"Low","EA_0176","Townhouse"
136,"Limpopo","Urban",5,"High","EA_0152","House"
137,"Free State","Rural",8,"Low","EA_0057","Traditional"
138,"Gauteng","Rural",3,"High","EA_0421","House"
139,"KwaZulu-Natal","Urban",2,"Medium","EA_0169","Townhouse"
140,"Eastern Cape","Rural",5,"Medium","EA_0463","Informal"
141,"Western Cape","Urban",8,"High","EA_0053","House"
142,"North West","Rural",3,"Low","EA_0087","House"
143,"Gauteng","Rural",7,"Low","EA_0088","Traditional"
144,"Free State","Rural",7,"High","EA_0012","House"
145,"Gauteng","Urban",4,"Medium","EA_0249","House"
146,"Limpopo","Urban",5,"Medium","EA_0411","Informal"
147,"Gauteng","Urban",4,"Medium","EA_0036","House"
148,"KwaZulu-Natal","Rural",1,"Medium","EA_0037","Informal"
149,"KwaZulu-Natal","Urban",3,"Medium","EA_0342","Flat"
150,"Eastern Cape","Urban",4,"Medium","EA_0368","House"
151,"Mpumalanga","Urban",6,"Low","EA_0425","Townhouse"
152,"Mpumalanga","Rural",6,"Medium","EA_0030","Traditional"
153,"KwaZulu-Natal","Rural",7,"Medium","EA_0005","Informal"
154,"Mpumalanga","Urban",5,"Medium","EA_0404","Flat"
155,"North West","Rural",5,"Low","EA_0432","House"
156,"KwaZulu-Natal","Urban",4,"Medium","EA_0077","Flat"
157,"Gauteng","Rural",4,"Medium","EA_0411","House"
158,"Gauteng","Rural",4,"Medium","EA_0245","House"
159,"KwaZulu-Natal","Urban",3,"Medium","EA_0081","House"
160,"Mpumalanga","Rural",2,"High","EA_0106","Traditional"
161,"Gauteng","Rural",7,"High","EA_0471","House"
162,"KwaZulu-Natal","Rural",4,"Low","EA_0039","Traditional"
163,"North West","Urban",7,"Low","EA_0096","House"
164,"KwaZulu-Natal","Rural",6,"High","EA_0452","Traditional"
165,"Western Cape","Urban",4,"High","EA_0437","Townhouse"
166,"North West","Urban",4,"High","EA_0177","Flat"
167,"Gauteng","Urban",2,"Low","EA_0186","Flat"
168,"Gauteng","Urban",8,"Medium","EA_0290","House"
169,"Western Cape","Rural",4,"Low","EA_0232","Informal"
170,"Western Cape","Rural",4,"Medium","EA_0090","House"
171,"Western Cape","Urban",8,"Low","EA_0210","House"
172,"Western Cape","Rural",3,"Low","EA_0479","House"
173,"North West","Urban",2,"Medium","EA_0187","Flat"
174,"Eastern Cape","Rural",3,"Low","EA_0405","House"
175,"Gauteng","Urban",7,"Low","EA_0173","Flat"
176,"Limpopo","Urban",6,"Low","EA_0125","Townhouse"
177,"Gauteng","Rural",4,"Low","EA_0214","House"
178,"Gauteng","Urban",3,"Low","EA_0400","Flat"
179,"Mpumalanga","Urban",5,"Medium","EA_0250","Townhouse"
180,"KwaZulu-Natal","Urban",4,"Low","EA_0361","Informal"
181,"Eastern Cape","Rural",4,"Medium","EA_0298","House"
182,"North West","Urban",4,"Medium","EA_0445","Townhouse"
183,"Gauteng","Rural",3,"Medium","EA_0279","Traditional"
184,"North West","Rural",4,"Low","EA_0140","Traditional"
185,"Free State","Urban",6,"High","EA_0117","Townhouse"
186,"Eastern Cape","Rural",4,"High","EA_0062","House"
187,"Western Cape","Urban",6,"Low","EA_0023","Flat"
188,"Free State","Rural",3,"High","EA_0133","Traditional"
189,"KwaZulu-Natal","Rural",4,"Low","EA_0311","House"
190,"Gauteng","Urban",4,"Medium","EA_0110","Townhouse"
191,"Gauteng","Rural",9,"High","EA_0451","House"
192,"North West","Urban",5,"Low","EA_0039","Flat"
193,"Gauteng","Urban",3,"High","EA_0230","Townhouse"
194,"Western Cape","Rural",6,"Low","EA_0105","Informal"
195,"Gauteng","Urban",2,"Low","EA_0127","Townhouse"
196,"North West","Rural",1,"Low","EA_0193","House"
197,"Gauteng","Rural",3,"Low","EA_0310","House"
198,"Gauteng","Rural",3,"Low","EA_0190","Informal"
199,"Western Cape","Rural",4,"Medium","EA_0365","Informal"
200,"Gauteng","Rural",5,"High","EA_0011","Traditional"
201,"Eastern Cape","Urban",6,"Medium","EA_0110","Flat"
202,"Gauteng","Rural",3,"Low","EA_0499","Informal"
203,"KwaZulu-Natal","Urban",4,"Medium","EA_0234","House"
204,"Gauteng","Urban",7,"Medium","EA_0008","Flat"
205,"Mpumalanga","Urban",4,"Low","EA_0209","House"
206,"North West","Urban",2,"Low","EA_0331","House"
207,"Western Cape","Urban",1,"Medium","EA_0166","Informal"
208,"Western Cape","Urban",2,"Low","EA_0358","House"
209,"Gauteng","Urban",3,"Medium","EA_0390","House"
210,"Limpopo","Urban",6,"High","EA_0409","Flat"
211,"Western Cape","Urban",3,"Low","EA_0038","House"
212,"North West","Urban",6,"Low","EA_0225","House"
213,"Gauteng","Urban",3,"Low","EA_0468","House"
214,"Mpumalanga","Rural",3,"Medium","EA_0145","House"
215,"North West","Urban",4,"High","EA_0404","Informal"
216,"North West","Urban",5,"Low","EA_0411","Flat"
217,"Limpopo","Rural",3,"Medium","EA_0295","Traditional"
218,"Gauteng","Urban",5,"Low","EA_0352","Townhouse"
219,"North West","Urban",4,"Medium","EA_0346","Flat"
220,"Limpopo","Urban",6,"Low","EA_0125","House"
221,"Gauteng","Rural",1,"Medium","EA_0483","Traditional"
222,"KwaZulu-Natal","Urban",1,"Medium","EA_0362","Flat"
223,"KwaZulu-Natal","Urban",8,"Medium","EA_0299","House"
224,"Western Cape","Rural",9,"Low","EA_0069","House"
225,"KwaZulu-Natal","Rural",1,"Low","EA_0008","House"
226,"Gauteng","Urban",3,"Medium","EA_0044","House"
227,"Gauteng","Urban",5,"Medium","EA_0294","Townhouse"
228,"Western Cape","Urban",5,"Medium","EA_0233","House"
229,"KwaZulu-Natal","Urban",2,"Low","EA_0486","House"
230,"Gauteng","Rural",3,"High","EA_0421","House"
231,"Mpumalanga","Rural",4,"Medium","EA_0296","Informal"
232,"Gauteng","Urban",6,"Low","EA_0065","Townhouse"
233,"Gauteng","Urban",5,"Medium","EA_0237","House"
234,"Northern Cape","Rural",4,"Medium","EA_0382","House"
235,"Western Cape","Urban",5,"High","EA_0127","Townhouse"
236,"Free State","Urban",7,"Low","EA_0453","Flat"
237,"KwaZulu-Natal","Urban",6,"Medium","EA_0315","Flat"
238,"Gauteng","Rural",3,"Low","EA_0372","House"
239,"KwaZulu-Natal","Urban",5,"Medium","EA_0196","Informal"
240,"Western Cape","Rural",4,"Low","EA_0490","Traditional"
241,"KwaZulu-Natal","Rural",6,"Medium","EA_0117","House"
242,"KwaZulu-Natal","Rural",5,"Low","EA_0323","House"
243,"Gauteng","Urban",4,"Medium","EA_0149","Flat"
244,"North West","Urban",3,"Medium","EA_0292","House"
245,"KwaZulu-Natal","Rural",8,"Low","EA_0332","House"
246,"KwaZulu-Natal","Urban",1,"Medium","EA_0385","Townhouse"
247,"Gauteng","Rural",2,"High","EA_0411","Informal"
248,"Gauteng","Urban",4,"Medium","EA_0302","Townhouse"
249,"Western Cape","Rural",3,"Low","EA_0104","House"
250,"Limpopo","Rural",5,"Medium","EA_0159","House"
251,"Western Cape","Urban",3,"Medium","EA_0353","Townhouse"
252,"Free State","Urban",4,"Medium","EA_0129","Flat"
253,"Gauteng","Urban",9,"Low","EA_0152","Flat"
254,"Eastern Cape","Urban",1,"High","EA_0307","Townhouse"
255,"Western Cape","Urban",4,"Medium","EA_0380","House"
256,"Limpopo","Urban",5,"Low","EA_0300","Townhouse"
257,"Gauteng","Rural",2,"Medium","EA_0225","House"
258,"Gauteng","Rural",2,"Medium","EA_0496","Traditional"
259,"KwaZulu-Natal","Urban",5,"Medium","EA_0308","House"
260,"Western Cape","Rural",7,"Low","EA_0368","Traditional"
261,"Eastern Cape","Rural",3,"Medium","EA_0222","Traditional"
262,"Western Cape","Rural",2,"Medium","EA_0299","Informal"
263,"Western Cape","Urban",6,"Low","EA_0049","House"
264,"KwaZulu-Natal","Urban",6,"Low","EA_0463","Townhouse"
265,"Gauteng","Urban",3,"Medium","EA_0135","House"
266,"Gauteng","Urban",4,"High","EA_0051","Townhouse"
267,"Gauteng","Urban",4,"Medium","EA_0391","House"
268,"Limpopo","Urban",4,"Medium","EA_0375","House"
269,"Gauteng","Urban",3,"High","EA_0111","Townhouse"
270,"KwaZulu-Natal","Urban",4,"Medium","EA_0064","Townhouse"
271,"Free State","Urban",3,"Medium","EA_0424","Flat"
272,"Western Cape","Rural",8,"Low","EA_0155","Traditional"
273,"Gauteng","Rural",5,"Medium","EA_0217","House"
274,"KwaZulu-Natal","Urban",8,"Medium","EA_0288","House"
275,"Western Cape","Urban",8,"Low","EA_0146","House"
276,"Mpumalanga","Urban",5,"Medium","EA_0399","House"
277,"Gauteng","Urban",5,"Medium","EA_0197","Townhouse"
278,"Free State","Rural",3,"Low","EA_0016","Informal"
279,"Mpumalanga","Urban",4,"Low","EA_0224","House"
280,"KwaZulu-Natal","Urban",5,"Low","EA_0298","Townhouse"
281,"Gauteng","Urban",5,"Medium","EA_0005","Informal"
282,"North West","Rural",2,"Medium","EA_0347","Traditional"
283,"Gauteng","Urban",5,"Medium","EA_0334","Informal"
284,"KwaZulu-Natal","Rural",1,"Medium","EA_0090","Traditional"
285,"Mpumalanga","Urban",5,"High","EA_0313","Flat"
286,"Eastern Cape","Urban",5,"Low","EA_0185","Townhouse"
287,"Eastern Cape","Urban",3,"Medium","EA_0310","Informal"
288,"Western Cape","Urban",4,"High","EA_0222","House"
289,"KwaZulu-Natal","Urban",7,"Medium","EA_0144","Flat"
290,"KwaZulu-Natal","Urban",7,"Medium","EA_0071","Informal"
291,"KwaZulu-Natal","Rural",5,"Low","EA_0392","House"
292,"North West","Rural",2,"Medium","EA_0053","Informal"
293,"Gauteng","Rural",4,"Medium","EA_0266","House"
294,"Western Cape","Urban",4,"Low","EA_0178","Townhouse"
295,"Mpumalanga","Rural",4,"High","EA_0141","Traditional"
296,"Free State","Urban",6,"Low","EA_0030","House"
297,"Limpopo","Rural",5,"Low","EA_0401","Informal"
298,"Western Cape","Rural",2,"High","EA_0344","Informal"
299,"Western Cape","Urban",3,"Medium","EA_0366","House"
300,"Eastern Cape","Urban",2,"Medium","EA_0198","Flat"
301,"KwaZulu-Natal","Rural",4,"Low","EA_0234","Traditional"
302,"KwaZulu-Natal","Rural",4,"Medium","EA_0013","House"
303,"KwaZulu-Natal","Urban",1,"Low","EA_0081","Flat"
304,"Gauteng","Urban",4,"Low","EA_0449","House"
305,"KwaZulu-Natal","Urban",7,"Medium","EA_0429","House"
306,"Limpopo","Urban",7,"High","EA_0031","House"
307,"Gauteng","Urban",4,"Low","EA_0019","House"
308,"Gauteng","Rural",4,"Medium","EA_0190","Traditional"
309,"KwaZulu-Natal","Urban",1,"Low","EA_0350","House"
310,"Gauteng","Urban",4,"Medium","EA_0075","House"
311,"Mpumalanga","Urban",5,"Low","EA_0474","Flat"
312,"Gauteng","Urban",6,"Medium","EA_0462","House"
313,"Eastern Cape","Rural",6,"Low","EA_0067","House"
314,"Gauteng","Urban",3,"Low","EA_0091","Townhouse"
315,"Mpumalanga","Urban",4,"Low","EA_0057","Flat"
316,"Gauteng","Urban",2,"Low","EA_0018","House"
317,"Eastern Cape","Rural",4,"Medium","EA_0480","House"
318,"Western Cape","Urban",6,"Medium","EA_0448","Townhouse"
319,"North West","Rural",3,"Low","EA_0236","House"
320,"Gauteng","Rural",3,"Medium","EA_0487","House"
321,"Limpopo","Rural",5,"Medium","EA_0234","House"
322,"North West","Urban",3,"Medium","EA_0447","House"
323,"Free State","Rural",6,"Low","EA_0104","House"
324,"Western Cape","Rural",1,"Medium","EA_0014","Traditional"
325,"Western Cape","Rural",3,"Low","EA_0474","House"
326,"North West","Urban",3,"Medium","EA_0217","Flat"
327,"Western Cape","Urban",5,"Medium","EA_0106","House"
328,"North West","Urban",6,"Low","EA_0078","Flat"
329,"Gauteng","Urban",2,"Medium","EA_0005","House"
330,"Eastern Cape","Rural",4,"Medium","EA_0122","Informal"
331,"Gauteng","Urban",4,"High","EA_0427","Flat"
332,"Western Cape","Urban",7,"Low","EA_0167","Flat"
333,"Western Cape","Urban",2,"Low","EA_0445","House"
334,"KwaZulu-Natal","Urban",5,"Low","EA_0256","Flat"
335,"KwaZulu-Natal","Urban",5,"Medium","EA_0054","House"
336,"Gauteng","Urban",3,"Low","EA_0414","Flat"
337,"Gauteng","Urban",3,"High","EA_0321","House"
338,"Northern Cape","Urban",3,"Low","EA_0384","Townhouse"
339,"Mpumalanga","Urban",9,"Medium","EA_0177","Townhouse"
340,"Mpumalanga","Urban",3,"Medium","EA_0450","House"
341,"Mpumalanga","Urban",9,"Low","EA_0159","Informal"
342,"Eastern Cape","Rural",3,"Medium","EA_0237","Informal"
343,"Mpumalanga","Urban",1,"Low","EA_0350","Townhouse"
344,"Mpumalanga","Urban",5,"Low","EA_0094","Townhouse"
345,"Western Cape","Urban",2,"Medium","EA_0168","Informal"
346,"Gauteng","Rural",4,"Medium","EA_0324","Traditional"
347,"Mpumalanga","Rural",4,"Low","EA_0368","Traditional"
348,"Western Cape","Urban",5,"Low","EA_0145","House"
349,"Northern Cape","Urban",3,"Low","EA_0209","House"
350,"Western Cape","Urban",4,"Low","EA_0464","Informal"
351,"North West","Rural",7,"Medium","EA_0447","House"
352,"Western Cape","Urban",6,"Low","EA_0336","Flat"
353,"KwaZulu-Natal","Urban",9,"Low","EA_0212","Townhouse"
354,"Eastern Cape","Urban",2,"Low","EA_0335","Informal"
355,"Mpumalanga","Urban",7,"Low","EA_0363","House"
356,"KwaZulu-Natal","Urban",3,"High","EA_0242","Flat"
357,"Gauteng","Urban",3,"High","EA_0331","Townhouse"
358,"Eastern Cape","Urban",2,"High","EA_0474","Flat"
359,"Gauteng","Rural",5,"Medium","EA_0034","Traditional"
360,"Gauteng","Rural",4,"Medium","EA_0093","Informal"
361,"Eastern Cape","Urban",1,"Medium","EA_0492","House"
362,"Gauteng","Rural",6,"Low","EA_0014","House"
363,"Mpumalanga","Rural",5,"Medium","EA_0221","Informal"
364,"Western Cape","Rural",4,"High","EA_0232","Traditional"
365,"North West","Rural",3,"High","EA_0215","House"
366,"Gauteng","Urban",3,"Low","EA_0188","Flat"
367,"Eastern Cape","Urban",5,"Medium","EA_0045","House"
368,"KwaZulu-Natal","Urban",5,"Medium","EA_0112","House"
369,"Gauteng","Rural",3,"Medium","EA_0452","House"
370,"Western Cape","Urban",2,"Low","EA_0079","Flat"
371,"Gauteng","Rural",5,"Medium","EA_0331","Traditional"
372,"KwaZulu-Natal","Urban",8,"High","EA_0091","Flat"
373,"Eastern Cape","Rural",5,"Low","EA_0190","Informal"
374,"Free State","Urban",8,"High","EA_0168","Townhouse"
375,"Limpopo","Rural",5,"High","EA_0117","Informal"
376,"Eastern Cape","Urban",2,"Low","EA_0248","Flat"
377,"Mpumalanga","Urban",1,"High","EA_0378","Informal"
378,"North West","Urban",4,"Low","EA_0270","Informal"
379,"KwaZulu-Natal","Urban",7,"Medium","EA_0107","Flat"
380,"Eastern Cape","Urban",6,"Medium","EA_0049","Flat"
381,"Limpopo","Urban",4,"Medium","EA_0259","House"
382,"KwaZulu-Natal","Urban",2,"Low","EA_0094","Townhouse"
383,"Eastern Cape","Rural",3,"High","EA_0210","House"
384,"KwaZulu-Natal","Urban",6,"Low","EA_0220","Townhouse"
385,"Mpumalanga","Urban",3,"Medium","EA_0479","House"
386,"Limpopo","Urban",5,"Low","EA_0266","Flat"
387,"Limpopo","Urban",5,"Medium","EA_0211","House"
388,"KwaZulu-Natal","Rural",3,"High","EA_0013","Traditional"
389,"Limpopo","Urban",4,"Low","EA_0387","Flat"
390,"Gauteng","Urban",1,"Medium","EA_0049","Townhouse"
391,"Limpopo","Rural",3,"Low","EA_0443","House"
392,"Gauteng","Rural",10,"Low","EA_0389","House"
393,"North West","Urban",2,"Medium","EA_0360","House"
394,"North West","Rural",3,"Low","EA_0407","Informal"
395,"North West","Urban",6,"Low","EA_0277","Townhouse"
396,"Gauteng","Rural",5,"Medium","EA_0420","Traditional"
397,"Limpopo","Urban",3,"High","EA_0304","Flat"
398,"Western Cape","Urban",5,"Medium","EA_0016","House"
399,"Western Cape","Urban",4,"Low","EA_0425","Townhouse"
400,"Western Cape","Rural",3,"Low","EA_0210","House"
401,"KwaZulu-Natal","Urban",3,"Low","EA_0074","House"
402,"Western Cape","Rural",3,"Low","EA_0104","House"
403,"Gauteng","Urban",3,"Low","EA_0190","House"
404,"North West","Rural",6,"Low","EA_0038","House"
405,"Gauteng","Urban",4,"Low","EA_0094","Flat"
406,"KwaZulu-Natal","Urban",4,"Low","EA_0055","Flat"
407,"Western Cape","Urban",1,"Medium","EA_0230","House"
408,"Western Cape","Rural",5,"High","EA_0206","Traditional"
409,"KwaZulu-Natal","Urban",9,"Medium","EA_0365","Townhouse"
410,"KwaZulu-Natal","Urban",5,"Low","EA_0208","Flat"
411,"Gauteng","Rural",4,"Medium","EA_0063","House"
412,"Gauteng","Urban",3,"Low","EA_0316","Flat"
413,"Gauteng","Urban",7,"Medium","EA_0476","House"
414,"KwaZulu-Natal","Urban",3,"High","EA_0221","Townhouse"
415,"North West","Urban",2,"Medium","EA_0266","House"
416,"Western Cape","Urban",6,"High","EA_0369","House"
417,"Gauteng","Urban",10,"Medium","EA_0289","Flat"
418,"Western Cape","Urban",7,"High","EA_0094","Townhouse"
419,"Mpumalanga","Urban",3,"Low","EA_0010","House"
420,"North West","Urban",3,"Low","EA_0014","Flat"
421,"Mpumalanga","Urban",7,"High","EA_0225","Flat"
422,"Western Cape","Urban",10,"Medium","EA_0096","Townhouse"
423,"Western Cape","Rural",3,"High","EA_0192","Traditional"
424,"Mpumalanga","Urban",3,"Low","EA_0472","Townhouse"
425,"Mpumalanga","Urban",7,"Medium","EA_0367","House"
426,"KwaZulu-Natal","Urban",5,"Medium","EA_0114","Townhouse"
427,"Gauteng","Urban",6,"Low","EA_0128","House"
428,"Mpumalanga","Rural",1,"Medium","EA_0257","House"
429,"Limpopo","Urban",4,"Medium","EA_0477","Townhouse"
430,"Western Cape","Urban",4,"Medium","EA_0479","House"
431,"North West","Urban",6,"Low","EA_0279","House"
432,"Gauteng","Rural",8,"Low","EA_0038","House"
433,"Eastern Cape","Urban",6,"Low","EA_0054","Flat"
434,"Gauteng","Rural",3,"Low","EA_0196","House"
435,"Eastern Cape","Urban",2,"Medium","EA_0335","House"
436,"Gauteng","Urban",2,"Low","EA_0340","Flat"
437,"Western Cape","Rural",4,"Low","EA_0282","House"
438,"KwaZulu-Natal","Urban",5,"Medium","EA_0062","House"
439,"Mpumalanga","Urban",5,"Medium","EA_0405","House"
440,"Eastern Cape","Urban",4,"Low","EA_0282","Flat"
441,"Western Cape","Urban",3,"Medium","EA_0432","Townhouse"
442,"Gauteng","Rural",2,"Low","EA_0169","House"
443,"KwaZulu-Natal","Rural",3,"High","EA_0306","House"
444,"Gauteng","Urban",8,"Medium","EA_0087","House"
445,"Western Cape","Urban",2,"Low","EA_0475","Informal"
446,"Eastern Cape","Rural",6,"Low","EA_0157","House"
447,"Western Cape","Rural",5,"Low","EA_0479","House"
448,"Western Cape","Urban",4,"Medium","EA_0063","House"
449,"KwaZulu-Natal","Urban",6,"Medium","EA_0167","Informal"
450,"KwaZulu-Natal","Urban",5,"Low","EA_0071","Townhouse"
451,"Western Cape","Urban",6,"Low","EA_0329","House"
452,"North West","Rural",7,"Low","EA_0314","House"
453,"Gauteng","Rural",4,"Medium","EA_0189","Traditional"
454,"Northern Cape","Rural",3,"Medium","EA_0226","Traditional"
