"response_id","household_id","mode_sequence","initial_mode","final_mode","n_mode_switches","web_attempt_date","web_response","phone_attempt_date","phone_response","f2f_attempt_date","f2f_response","final_response_status","response_propensity_score","mode_preference_stated","device_type","completion_time_minutes","data_quality_score","item_nonresponse_rate","straightlining_detected","mode_effect_adjustment","cost_total","interviewer_id","paradata_available"
"MM00037","HH01224","Web only","Web","Web",0,2024-01-05,"No response",NA,NA,NA,NA,"No response",0.320951457234537,"Phone","Desktop",30,62.1421908641599,0.0284128165849529,0,0.956744489633572,4.08,NA,0
"MM00038","HH00336","Phone-F2F","Phone","Face-to-face",3,2024-01-12,"No response",19752,"No response",19767,"Complete","Complete",0.606467261962665,"Web","Mobile",51,80.8507796426339,0.0721705939105343,0,1.21355300708045,37.9,"INT007",1
"MM00039","HH01352","Web-F2F","Web","Face-to-face",1,2024-01-09,"No response",NA,NA,19762,"Complete","Complete",0.0933301546760375,"Web","Mobile",47,78.3529646833551,0.0919830541698305,0,0.82432208046775,35.25,"INT023",1
"MM00040","HH00215","Web-F2F","Web","Face-to-face",1,2024-01-08,"No response",NA,NA,19754,"Complete","Complete",0.222728521530235,"Web","Desktop",33,68.2698522655927,0.0567083510616893,0,1.09362031770431,40.4,"INT016",0
"MM00041","HH01003","Phone-F2F","Phone","Face-to-face",0,2024-01-10,"No response",19740,"Partial",19763,"Partial","Partial",0.746823392480714,"No preference","Mobile",29,47.2909317749812,0.101490914851665,0,0.971824690812479,25.14,"INT012",1
"MM00042","HH00968","Web-F2F","Web","Face-to-face",2,2024-01-13,"Complete",NA,NA,19760,"Complete","Complete",0.38681517863988,"Phone","Mobile",42,66.8660154942723,0.140988029994199,0,1.06076994792179,37.68,"INT008",1
"MM00043","HH00164","Phone-F2F","Phone","Face-to-face",1,2024-01-07,"No response",19747,"No response",19753,"Complete","Complete",0.293922881397221,"Web","Mobile",61,88.3972943666097,0.107766572433436,0,1.01719471490037,28.13,"INT023",1
"MM00044","HH00609","F2F only","Face-to-face","Face-to-face",0,2024-01-14,"Complete",NA,NA,19768,"Complete","Complete",0.752506928595203,"Phone","Desktop",37,72.3416103437591,0.167191793135573,0,0.89409959216842,41.92,"INT005",1
"MM00045","HH00256","Web-Phone","Web","Phone",0,2024-01-06,"No response",19738,"No response",NA,NA,"No response",0.571213734712319,"Web","Tablet",25,64.7030901699625,0.0761953396284276,0,0.946981064591425,11.66,"INT043",1
"MM00046","HH00702","F2F only","Face-to-face","Face-to-face",3,2024-01-12,"No response",NA,NA,19762,"Partial","Partial",0.369794678758421,"Face-to-face","Mobile",36,70.4853983352426,0.125162641578169,0,1.01194593562799,35.09,"INT009",1
"MM00047","HH00280","Web-F2F","Web","Face-to-face",0,2024-01-28,"Partial",NA,NA,19771,"Complete","Complete",0.163118172275344,"Web","NA",49,79.3642529333898,0.0204336273704933,0,1.00129250604652,37.12,"INT006",0
"MM00048","HH00227","F2F only","Face-to-face","Face-to-face",0,2024-01-30,"Complete",NA,NA,19777,"Complete","Complete",0.610723723551377,"Face-to-face","NA",34,73.9113150006329,0.227064889845486,0,1.12006170898252,29.66,"INT006",1
"MM00049","HH00302","Web-Phone","Web","Phone",1,2024-01-26,"Complete",19758,"No response",NA,NA,"No response",0.660285894273785,"No preference","Tablet",51,80.3723311129535,0.110641656600192,1,0.926808802187944,12.12,"INT005",1
"MM00050","HH00921","Web-F2F","Web","Face-to-face",0,2024-01-06,"Partial",NA,NA,19748,"Partial","Partial",0.163694302780769,"Web","Mobile",47,91.2505510298302,0.0907540249034108,0,0.880778232442902,27.07,"INT016",1
"MM00051","HH01453","Web-F2F","Web","Face-to-face",0,2024-01-04,"No response",NA,NA,19742,"Complete","Complete",0.460093886353673,"Web","NA",63,54.7500011866034,0.0301853839639972,0,0.920646182943809,33.81,"INT042",0
"MM00052","HH00975","Phone-F2F","Phone","Face-to-face",2,2024-01-05,"No response",19743,"Partial",19754,"Refused","Refused",0.566617649083076,"Phone","Tablet",36,71.4941529454418,0.238562576783584,0,1.08034918834926,25.02,"INT012",1
"MM00053","HH00106","Web-Phone","Web","Phone",1,2024-01-13,"No response",19747,"Partial",NA,NA,"Partial",0.291324783416449,"Web","Mobile",26,82.5093713737767,0.0882778406843837,0,0.882639632567786,12.04,"INT025",0
"MM00054","HH01115","Phone-F2F","Phone","Face-to-face",0,2024-01-04,"Partial",19735,"Complete",19752,"Complete","Complete",0.556648126593883,"Phone","Tablet",36,77.9349413727832,0.066368724620887,0,1.06056511287327,28.71,"INT040",1
"MM00055","HH01237","Web-Phone","Web","Phone",0,2024-01-15,"Partial",19753,"No response",NA,NA,"No response",0.436374560858073,"Phone","Desktop",35,80.5895074264139,0.18329938620162,0,0.986255681008745,12.67,"INT003",1
"MM00056","HH00121","F2F only","Face-to-face","Face-to-face",2,2024-01-12,"Complete",NA,NA,19759,"Complete","Complete",0.546771997653675,"Phone","Desktop",37,85.3664526436763,0.108937439565651,0,0.876218603827589,43.51,"INT007",0
"MM00057","HH00321","Web-Phone","Web","Phone",2,2024-01-27,"No response",19767,"No response",NA,NA,"No response",0.547607409324582,"No preference","Desktop",40,80.1727622926129,0.183608546358378,0,0.900878763431823,10.57,"INT031",1
"MM00058","HH00707","Web only","Web","Web",0,2024-01-12,"Complete",NA,NA,NA,NA,"Complete",0.0337761692797938,"Face-to-face","Desktop",28,75.6195248934141,0.304479903121385,0,1.02032566944102,3.65,NA,1
"MM00059","HH01318","Web-F2F","Web","Face-to-face",1,2024-01-21,"No response",NA,NA,19776,"Complete","Complete",0.368827998248326,"Phone","Mobile",35,100.227159336689,0.0237793544685134,0,1.12347385281694,44.87,"INT033",1
"MM00060","HH01045","F2F only","Face-to-face","Face-to-face",0,2024-01-24,"No response",NA,NA,19774,"Complete","Complete",0.14057030075358,"Face-to-face","Mobile",49,96.0297250524545,0.025839417916238,0,1.05099455230788,48.85,"INT045",0
"MM00061","HH00190","Web-Phone","Web","Phone",1,2024-01-27,"Complete",19763,"Complete",NA,NA,"Complete",0.165713186017874,"Phone","Mobile",44,60.1400376465419,0.1479108692147,0,1.1488718139285,9.41,"INT009",0
"MM00062","HH00094","Web-F2F","Web","Face-to-face",1,2024-01-29,"Partial",NA,NA,19783,"Complete","Complete",0.388450267145826,"Web","Desktop",37,66.3208377518668,0.071023989139238,0,1.12358366144262,31.52,"INT034",1
"MM00063","HH00665","Web-Phone","Web","Phone",0,2024-01-24,"No response",19762,"No response",NA,NA,"No response",0.733874185964756,"Face-to-face","Desktop",36,109.920135113164,0.165286431096557,0,1.12492738729077,13.03,"INT017",1
"MM00064","HH00902","F2F only","Face-to-face","Face-to-face",1,2024-01-25,"No response",NA,NA,19770,"Partial","Partial",0.255468839947039,"Face-to-face","Mobile",33,59.6289046510666,0.056534015064905,0,1.07976116418183,40.19,"INT042",1
"MM00065","HH00856","F2F only","Face-to-face","Face-to-face",0,2024-01-27,"No response",NA,NA,19777,"Complete","Complete",0.0983775461653782,"Phone","NA",29,97.1573594734693,0.205648339068926,0,0.920027638840041,31.18,"INT023",1
"MM00066","HH00119","Web-Phone","Web","Phone",0,2024-01-09,"No response",19738,"Complete",NA,NA,"Complete",0.732197482538335,"Web","Tablet",25,77.6967671002388,0.0310940630983138,0,0.903909016395437,10.45,"INT034",0
"MM00067","HH00683","Web-F2F","Web","Face-to-face",0,2024-01-27,"No response",NA,NA,19773,"Complete","Complete",0.406839108302626,"Phone","Desktop",57,67.6823394879285,0.048045804652754,0,1.09312595373517,40.72,"INT004",1
"MM00068","HH01103","F2F only","Face-to-face","Face-to-face",3,2024-01-04,"No response",NA,NA,19744,"Complete","Complete",0.575194856139799,"No preference","Mobile",45,60.7527380733127,0.187921709534848,0,1.04329415121559,26.65,"INT008",1
"MM00069","HH00348","Web-F2F","Web","Face-to-face",1,2024-01-25,"No response",NA,NA,19778,"Complete","Complete",0.393834370045243,"Face-to-face","Tablet",43,58.291904416963,0.100279857477418,0,1.03391607297881,44.41,"INT015",1
"MM00070","HH00461","F2F only","Face-to-face","Face-to-face",0,2024-01-15,"No response",NA,NA,19762,"Complete","Complete",0.725210694313794,"Web","Mobile",48,71.7375691103545,0.118837962246053,0,0.797043812798676,44.6,"INT013",1
"MM00071","HH01099","Web-Phone","Web","Phone",1,2024-01-16,"No response",19750,"Partial",NA,NA,"Partial",0.65718040080461,"Face-to-face","NA",18,89.5481979360402,0.2766866457577,0,0.987616067088714,10.61,"INT008",0
"MM00072","HH00537","Phone-F2F","Phone","Face-to-face",2,2024-01-28,"Complete",19761,"Complete",19772,"Complete","Complete",0.704714358144474,"Web","NA",32,67.2298626527573,0.143933247768038,0,1.00231884656708,27.31,"INT035",0
"MM00073","HH00500","Web only","Web","Web",1,2024-01-18,"No response",NA,NA,NA,NA,"No response",0.391789698233787,"Face-to-face","Tablet",39,56.5890446611113,0.226295826094046,0,1.02926888157855,3.69,NA,0
"MM00074","HH00300","Web-Phone","Web","Phone",0,2024-01-07,"No response",19746,"Complete",NA,NA,"Complete",0.488375155522834,"No preference","Mobile",19,70.5261706975973,0.23964913759639,0,1.08199207934778,11.83,"INT037",0
"MM00075","HH00673","Phone-F2F","Phone","Face-to-face",2,2024-01-28,"Partial",19767,"No response",19771,"Complete","Complete",0.203817957172226,"Phone","Mobile",58,64.1660066582302,0.114486266301098,0,1.06739176403482,35.59,"INT030",0
"MM00076","HH01129","Web-Phone","Web","Phone",0,2024-01-11,"No response",19750,"Complete",NA,NA,"Complete",0.380138100468112,"No preference","Desktop",38,100.51601673883,0.188210008636464,0,0.981106789836743,9.19,"INT037",1
"MM00077","HH01463","Web-F2F","Web","Face-to-face",0,2024-01-11,"No response",NA,NA,19765,"Refused","Refused",0.324595494205658,"Face-to-face","Tablet",40,62.4410903535615,0.129395342374371,0,0.894006632137292,30.97,"INT013",1
"MM00078","HH00082","Web-Phone","Web","Phone",0,2024-01-18,"No response",19760,"Partial",NA,NA,"Partial",0.601313765399083,"Face-to-face","Mobile",42,88.7508113906587,0.0165884269113881,0,0.983541774677259,8.41,"INT001",1
"MM00079","HH01129","Web-F2F","Web","Face-to-face",0,2024-01-24,"Partial",NA,NA,19760,"Complete","Complete",0.892095972047365,"Phone","Mobile",31,83.9263497523038,0.12286785835339,0,1.01026675842702,27.99,"INT042",1
"MM00080","HH01341","Web-Phone","Web","Phone",2,2024-01-22,"Complete",19755,"Complete",NA,NA,"Complete",0.775293074711414,"Phone","Mobile",47,59.4124627848278,0.134852750134904,0,1.05790513774526,10.78,"INT004",1
"MM00081","HH01407","Phone-F2F","Phone","Face-to-face",1,2024-01-22,"No response",19759,"No response",19774,"Partial","Partial",0.593820332525494,"Phone","Tablet",40,84.3301451770242,0.0869927254936377,0,0.887236089012785,28.02,"INT011",1
"MM00082","HH00200","Phone-F2F","Phone","Face-to-face",3,2024-01-24,"No response",19767,"No response",19762,"Complete","Complete",0.402754633314599,"No preference","Tablet",49,111.726259043062,0.102038098722372,0,1.05873496042289,26.19,"INT047",0
"MM00083","HH00414","Phone-F2F","Phone","Face-to-face",1,2024-01-22,"Complete",19757,"Partial",19773,"Complete","Complete",0.245971501470824,"No preference","Mobile",40,44.5797994553687,0.202624135690351,0,1.01820960507626,40.45,"INT049",1
"MM00084","HH00073","Web-Phone","Web","Phone",0,2024-01-29,"Complete",19760,"No response",NA,NA,"No response",0.231123589769722,"No preference","Desktop",17,87.1385245444878,0.103488502730494,0,1.04206219061174,14.61,"INT029",1
"MM00085","HH00769","Web-F2F","Web","Face-to-face",0,2024-01-11,"Complete",NA,NA,19758,"Complete","Complete",0.713044631263506,"Face-to-face","Mobile",31,88.3617631592793,0.0310551736110046,0,1.05198035505757,45.08,"INT040",1
"MM00086","HH00405","F2F only","Face-to-face","Face-to-face",0,2024-01-14,"Complete",NA,NA,19758,"Complete","Complete",0.585753760093948,"Face-to-face","Tablet",36,92.7025654958704,0.0330984840468893,0,0.946760730889842,43.38,"INT001",1
"MM00087","HH00954","Web-F2F","Web","Face-to-face",1,2024-01-08,"No response",NA,NA,19760,"Complete","Complete",0.241652389615487,"Face-to-face","NA",47,61.5145676727229,0.143028025166699,0,0.99171570988689,26.45,"INT003",0
"MM00088","HH01480","F2F only","Face-to-face","Face-to-face",0,2024-01-27,"Partial",NA,NA,19776,"Complete","Complete",0.171584373583976,"Phone","NA",49,64.6336890584817,0.0559752831481349,0,1.14965478757771,34.12,"INT041",1
"MM00089","HH00928","Web only","Web","Web",1,2024-01-29,"No response",NA,NA,NA,NA,"No response",0.690588301902956,"Web","Mobile",39,94.3043643046414,0.0384229054860291,0,0.92673512466268,3.19,NA,1
"MM00090","HH00887","Web only","Web","Web",1,2024-01-15,"Complete",NA,NA,NA,NA,"Complete",0.229453993486904,"Web","NA",39,73.3571451331738,0.0255254276045741,0,1.02991674545032,4.97,NA,0
"MM00091","HH01242","Phone-F2F","Phone","Face-to-face",0,2024-01-27,"Complete",19757,"No response",19776,"Complete","Complete",0.0753539877833835,"Phone","Mobile",33,74.6525654449292,0.0367898390675754,0,1.05455445177608,45.52,"INT047",1
"MM00092","HH00379","F2F only","Face-to-face","Face-to-face",2,2024-01-02,"No response",NA,NA,19757,"Complete","Complete",0.415431350940277,"No preference","Mobile",43,54.4293122388845,0.0934869437531216,1,0.849046932934553,29.82,"INT042",1
"MM00093","HH01074","F2F only","Face-to-face","Face-to-face",0,2024-01-31,"Complete",NA,NA,19770,"Partial","Partial",0.504003811103965,"No preference","Desktop",60,100.498000968811,0.203105332938841,1,1.12976335509573,26.13,"INT013",1
"MM00094","HH00987","F2F only","Face-to-face","Face-to-face",0,2024-01-08,"Complete",NA,NA,19744,"Refused","Refused",0.408258919481105,"Web","Mobile",43,57.8895962214507,0.0889342614226974,0,0.961223365747842,49.33,"INT050",1
"MM00095","HH01164","Web-F2F","Web","Face-to-face",0,2024-01-24,"No response",NA,NA,19770,"Complete","Complete",0.145338334680464,"Web","Tablet",43,72.3410468653737,0.122208448762229,0,1.00617827686734,43.84,"INT001",1
"MM00096","HH01156","F2F only","Face-to-face","Face-to-face",0,2024-01-17,"No response",NA,NA,19761,"Complete","Complete",0.659870259476369,"No preference","Mobile",54,81.710684861358,0.0845960305980169,0,1.04609988959676,35.74,"INT044",1
"MM00097","HH00511","F2F only","Face-to-face","Face-to-face",0,2024-01-24,"No response",NA,NA,19774,"Complete","Complete",0.424448374883565,"Web","Mobile",51,76.2102113068273,0.115245629550003,0,1.05521354460808,49.64,"INT033",0
"MM00098","HH00631","Web-F2F","Web","Face-to-face",2,2024-01-28,"Complete",NA,NA,19783,"Complete","Complete",0.419447093734056,"Face-to-face","Desktop",75,90.9558033099742,0.0506320270257738,0,1.07597605944893,39.66,"INT016",1
"MM00099","HH01107","Web only","Web","Web",0,2024-01-31,"Partial",NA,NA,NA,NA,"Partial",0.385685649816917,"Web","Mobile",18,83.7016493479104,0.110657326352631,0,0.978554911191668,3.55,NA,1
"MM00100","HH00814","Web-F2F","Web","Face-to-face",1,2024-01-05,"Complete",NA,NA,19754,"Complete","Complete",0.570110631405235,"No preference","Mobile",42,101.527948205829,0.136650941807696,0,1.00669889762189,29.98,"INT033",1
"MM00101","HH00192","F2F only","Face-to-face","Face-to-face",1,2024-01-15,"No response",NA,NA,19769,"Complete","Complete",0.117611523654894,"Web","Desktop",50,58.7599298218472,0.0242890888982292,0,1.08415481665551,44.55,"INT045",0
"MM00102","HH01279","Web-Phone","Web","Phone",0,2024-01-29,"Complete",19770,"Complete",NA,NA,"Complete",0.248830964089911,"Face-to-face","Mobile",42,63.3257933389594,0.0564705679981003,0,1.0439685101803,10.92,"INT038",0
"MM00103","HH00275","Web-F2F","Web","Face-to-face",1,2024-01-07,"No response",NA,NA,19763,"Complete","Complete",0.207085132388911,"No preference","Mobile",49,78.7985705101247,0.0593008477141622,0,0.987925873905945,46,"INT002",1
"MM00104","HH00932","Phone-F2F","Phone","Face-to-face",1,2024-01-16,"Complete",19758,"Complete",19772,"Partial","Partial",0.532553627762349,"Phone","NA",52,103.637896258515,0.111364431676369,0,0.964165172782021,30.31,"INT023",1
"MM00105","HH00723","Phone-F2F","Phone","Face-to-face",2,2024-01-16,"No response",19756,"No response",19766,"Partial","Partial",0.855886923793987,"Phone","Tablet",38,69.7704205457518,0.16845002109815,1,0.923600172501551,48.78,"INT001",1
"MM00106","HH00609","F2F only","Face-to-face","Face-to-face",0,2024-01-30,"Complete",NA,NA,19785,"Complete","Complete",0.184139727339929,"No preference","Desktop",54,76.3511994731888,0.0171188666714017,0,1.11590685790813,33.73,"INT015",0
"MM00107","HH00075","F2F only","Face-to-face","Face-to-face",0,2024-01-29,"No response",NA,NA,19769,"Complete","Complete",0.112292765308331,"Phone","NA",64,85.7626890458882,0.106879977196202,0,1.02303055986338,39.99,"INT021",0
"MM00108","HH00851","F2F only","Face-to-face","Face-to-face",0,2024-01-01,"Complete",NA,NA,19758,"Partial","Partial",0.608010972420695,"No preference","Mobile",75,72.1074786899153,0.14885332174627,0,1.16432887138102,34.91,"INT005",1
"MM00109","HH00203","Web-Phone","Web","Phone",0,2024-01-17,"No response",19751,"Partial",NA,NA,"Partial",0.345886929184305,"No preference","Desktop",29,80.9651769423373,0.0649795262874351,0,0.907436442843724,9.3,"INT020",1
"MM00110","HH00401","Web-F2F","Web","Face-to-face",0,2024-01-13,"No response",NA,NA,19759,"Complete","Complete",0.308643339837862,"Web","Mobile",42,56.3490257600071,0.0218957116152131,0,1.24063414569541,46.45,"INT017",1
"MM00111","HH01095","F2F only","Face-to-face","Face-to-face",2,2024-01-01,"No response",NA,NA,19743,"Complete","Complete",0.58801141860225,"Web","Mobile",35,67.2108555198718,0.0376155089843451,0,1.12179791173926,38.24,"INT048",1
"MM00112","HH01500","Phone-F2F","Phone","Face-to-face",0,2024-01-10,"Complete",19749,"No response",19762,"Complete","Complete",0.288392598968509,"Face-to-face","Desktop",30,77.6053982104309,0.0950148516138688,0,1.03296270735873,33.99,"INT025",1
"MM00113","HH01291","Web-F2F","Web","Face-to-face",0,2024-01-06,"No response",NA,NA,19760,"Complete","Complete",0.441531276110165,"No preference","Mobile",41,61.3886571779818,0.0856449273791955,0,1.135867886241,47.87,"INT014",0
"MM00114","HH00647","Web-Phone","Web","Phone",0,2024-01-12,"No response",19752,"Complete",NA,NA,"Complete",0.179644105844727,"Web","Mobile",49,82.214587536363,0.0186678117595799,0,1.17101573751486,11.95,"INT031",1
"MM00115","HH00468","F2F only","Face-to-face","Face-to-face",2,2024-01-26,"Complete",NA,NA,19762,"Complete","Complete",0.355549427871162,"Face-to-face","Desktop",54,79.1864281445771,0.0314784239951975,0,0.974397699782909,31.93,"INT006",1
"MM00116","HH00527","Phone-F2F","Phone","Face-to-face",2,2024-01-22,"No response",19763,"No response",19768,"Partial","Partial",0.288746218833126,"Web","NA",46,71.2451270859919,0.0460321083301933,0,0.898543495243922,40.62,"INT023",0
"MM00117","HH00919","Web-Phone","Web","Phone",0,2024-01-26,"No response",19758,"Partial",NA,NA,"Partial",0.485211875494226,"Phone","Mobile",29,84.3140425272323,0.0947865536825979,1,0.962293889345969,8.66,"INT010",1
