"household_id","ea_id","country","stratum","urban_rural","province_code","district_code","interview_date","household_size","dwelling_type","tenure_status","wall_material","roof_material","water_source","electricity","toilet_type","cooking_fuel","n_rooms","n_bedrooms","has_radio","has_tv","has_fridge","has_bicycle","has_motorcycle","has_car","has_computer","has_internet","monthly_income","monthly_expenditure","receives_grants","agricultural_hh","livestock_owned","interview_mode","interview_duration_min","respondent_age","respondent_gender","interview_language","interview_result","psu_weight","hh_weight","final_weight","quality_check","data_entry_date"
"HH00002_002","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-04-07,3,"Shack","Rented","Brick","Other","River","Generator","None","Electricity",4,3,0,0,1,0,0,0,0,1,1661,1128,1,1,1,"Face-to-face",46,37,"Female","English","Complete",2693.82233502538,2929.53328660242,3053.44103890584,0,2024-01-29
"HH00002_003","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-02-21,7,"Shack","Owned","Brick","Thatch","Well","Grid","Pit","Electricity",4,2,1,1,0,0,0,0,1,0,229,192,0,0,1,"Face-to-face",54,48,"Male","English","Partial",2693.82233502538,2871.88584522014,2993.35533716299,0,2024-05-20
"HH00002_004","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-02-09,7,"House","Free","Brick","Concrete","Piped","Grid","Other","Wood",3,1,1,0,0,0,0,0,0,0,3929,3702,0,0,1,"Face-to-face",57,32,"Female","Portuguese","Complete",2693.82233502538,2400.33236311542,2501.85699478797,0,2024-05-22
"HH00002_005","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-07-12,7,"House","Owned","Other","Tile","Piped","Grid","Other","Charcoal",4,2,0,0,0,0,0,0,0,0,NA,607,1,1,0,"Face-to-face",71,44,"Male","Portuguese","Complete",2693.82233502538,2531.07384237245,2638.1283251314,0,2024-04-27
"HH00002_006","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-01-17,6,"Flat","Rented","Brick","Concrete","Well","Generator","Pit","Other",4,3,0,1,0,1,0,0,0,0,1313,838,0,0,0,"Face-to-face",46,29,"Male","Local","Not Home",2693.82233502538,2223.77506569355,0,0,2024-07-31
"HH00002_007","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-05-22,6,"House","Owned","Brick","Iron","Piped","Grid","Pit","Paraffin",2,0,0,1,0,0,0,0,0,1,258,222,1,1,1,"Face-to-face",28,27,"Female","English","Complete",2693.82233502538,2979.3059187341,3105.31885789506,0,2024-07-24
"HH00002_008","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-01-14,6,"House","Other","Mud","Iron","Well","None","Flush","Electricity",6,2,1,1,1,0,0,1,1,1,8823,5699,0,0,0,"Face-to-face",38,32,"Male","English","Complete",2693.82233502538,2361.73279787271,2461.624819535,0,2024-05-29
"HH00002_009","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-02-05,3,"Traditional","Rented","Brick","Tile","Piped","Grid","Flush","Wood",3,NA,1,0,0,1,0,0,0,1,1972,1465,1,1,1,"Face-to-face",14,49,"Male","English","Complete",2693.82233502538,2645.80158133928,2757.70859686421,0,2024-07-10
"HH00002_010","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-03-07,5,"Other","Other","Mud","Concrete","Borehole","Grid","VIP","Wood",2,2,0,1,1,0,0,0,1,1,706,535,1,0,0,"Face-to-face",48,61,"Male","French","Partial",2693.82233502538,2694.56258773598,2808.532002323,0,2024-07-06
"HH00002_011","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2023-12-21,4,"House","Owned","Brick","Concrete","River","None","Pit","Wood",2,1,1,0,1,0,0,0,0,0,5168,4097,0,1,1,"Face-to-face",53,64,"Male","French","Complete",2693.82233502538,2535.65829826523,2642.90668550303,1,2024-03-05
"HH00002_012","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-03-10,8,"Flat","Rented","Brick","Iron","Piped","Solar","Flush","Wood",2,NA,1,0,0,0,1,0,1,0,502,NA,0,0,0,"Face-to-face",30,50,"Female","English","Complete",2693.82233502538,2249.03321210358,2344.15848391461,0,2024-07-08
"HH00002_013","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-03-30,7,"House","Owned","Mud","Concrete","Other","Grid","Pit","Other",3,0,1,1,0,0,0,0,0,0,3152,2330,0,0,1,"Face-to-face",56,60,"Male","English","Complete",2693.82233502538,2618.93798838688,2729.70877943648,1,2024-01-20
"HH00002_014","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-06-03,3,"House","Owned","Iron","Tile","Well","Solar","Flush","Wood",4,3,1,0,1,0,0,0,0,0,12495,7640,0,0,0,"Telephone",37,50,"Female","Portuguese","Complete",2693.82233502538,3182.39391787053,3316.99668176838,0,2024-07-01
"HH00002_015","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-04-23,5,"Other","Owned","Mud","Iron","Piped","Grid","Pit","Wood",2,1,1,0,0,0,0,1,0,0,8804,7867,1,1,0,"Face-to-face",21,52,"Female","Local","Complete",2693.82233502538,2238.66190635426,2333.34851266532,0,2024-05-27
"HH00002_016","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-05-06,3,"Traditional","Free","Brick","Tile","Well","None","Pit","Electricity",2,NA,1,0,0,0,0,0,1,1,261,NA,1,0,1,"Face-to-face",37,44,"Female","Portuguese","Complete",2693.82233502538,3100.94528221849,3232.10308871716,0,2024-02-12
"HH00002_017","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-02-03,3,"House","Free","Other","Other","Well","Grid","None","Electricity",1,3,1,0,1,0,0,0,0,0,7505,6515,0,0,1,"Face-to-face",57,65,"Male","English","Complete",2693.82233502538,2937.52554715026,3061.77134068531,0,2024-03-13
"HH00002_018","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-02-01,3,"Shack","Rented","Wood","Tile","Borehole","None","Flush","Wood",4,3,1,1,1,0,0,1,0,1,5120,3395,1,0,1,"Face-to-face",53,63,"Male","Portuguese","Refused",2693.82233502538,2598.09028402626,0,0,2024-06-13
"HH00002_019","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-01-06,5,"Flat","Rented","Mud","Tile","Piped","Grid","Pit","Gas",4,3,0,0,0,0,0,0,0,0,1944,1723,0,1,0,"Face-to-face",70,61,"Male","English","Complete",2693.82233502538,2604.90435668562,2715.08158023124,0,2024-06-11
"HH00002_020","EA01271","Lesotho","Lesotho_Urban","Urban","P7","D12",2024-04-19,2,"Traditional","Free","Mud","Iron","Piped","Grid","Other","Gas",3,2,0,0,1,0,0,1,1,0,18177,14406,0,1,0,"Face-to-face",38,44,"Female","English","Complete",2693.82233502538,2771.26917110304,2888.48297290196,0,2024-01-23
"HH00003_001","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-05-21,4,"House","Owned","Mud","Tile","Well","None","Flush","Paraffin",4,1,0,1,1,0,0,0,0,0,1622,1515,0,0,0,"Face-to-face",56,49,"Male","Local","Complete",4422.35833333333,4141.61115138763,4316.78503694482,1,2024-03-06
"HH00003_002","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-01-24,4,"House","Owned","Wood","Tile","Borehole","Grid","Pit","Wood",5,3,1,0,0,1,0,0,1,1,2113,1947,1,0,0,"Face-to-face",22,36,"Female","English","Complete",4422.35833333333,4873.21505758738,5079.33291500799,0,2024-07-03
"HH00003_003","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-06-07,2,"House","Owned","Wood","Tile","Piped","Grid","Pit","Wood",2,3,0,1,0,0,0,0,0,1,968,747,1,0,1,"Telephone",44,48,"Male","Local","Complete",4422.35833333333,4443.20300983342,4631.13304650311,0,2024-05-12
"HH00003_004","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-02-06,3,"Shack","Other","Brick","Iron","Piped","Grid","None","Wood",3,2,1,1,1,0,0,0,1,1,7313,6772,0,0,0,"Face-to-face",45,55,"Male","English","Partial",4422.35833333333,4155.83622678543,4331.61177716306,1,2024-03-30
"HH00003_005","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-02-23,7,"Shack","Rented","Mud","Iron","Piped","Grid","Pit","Wood",4,4,1,0,0,1,0,0,0,0,799,703,0,1,0,"Face-to-face",42,48,"Female","French","Complete",4422.35833333333,5017.06919277589,5229.27151512895,0,2024-06-24
"HH00003_006","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-06-16,2,"Other","Owned","Brick","Iron","Borehole","None","None","Wood",3,2,1,1,1,0,0,0,0,1,5181,3808,0,1,0,"Face-to-face",41,47,"Male","French","Partial",4422.35833333333,4741.42011221086,4941.9635610657,0,2024-07-25
"HH00003_007","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-01-16,6,"Shack","Rented","Iron","Thatch","Piped","None","None","Electricity",4,2,1,1,0,0,1,0,1,0,2949,2720,1,0,0,"Face-to-face",35,34,"Female","Local","Complete",4422.35833333333,4721.43830730367,4921.13660428932,0,2024-04-27
"HH00003_008","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-06-18,2,"Shack","Owned","Brick","Thatch","Borehole","None","Flush","Electricity",6,2,1,1,0,0,1,0,0,0,752,575,0,0,0,"Face-to-face",33,50,"Female","French","Complete",4422.35833333333,3927.81607172951,4093.94726509571,0,2024-07-08
"HH00003_009","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-02-19,3,"House","Owned","Mud","Iron","Other","Generator","Flush","Paraffin",4,NA,1,0,1,0,0,0,1,0,2936,2598,0,1,0,"Face-to-face",58,69,"Male","English","Complete",4422.35833333333,4469.03535126731,4658.05799452333,0,2024-04-19
"HH00003_010","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-06-28,6,"Other","Owned","Other","Tile","Borehole","Grid","Pit","Paraffin",3,3,1,0,0,0,0,0,0,0,205,153,0,0,0,"Face-to-face",77,59,"Male","Portuguese","Complete",4422.35833333333,4051.39658056374,4222.75474409212,0,2024-03-08
"HH00003_011","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-07-09,7,"House","Owned","Mud","Iron","Piped","None","Pit","Wood",3,3,0,1,0,0,0,0,0,0,8901,6258,1,0,0,"Face-to-face",35,20,"Female","English","Complete",4422.35833333333,4371.02152156363,4555.89856477176,0,2024-01-22
"HH00003_012","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-03-08,5,"Shack","Rented","Brick","Iron","Well","Grid","Pit","Wood",2,3,0,1,0,0,1,0,0,0,2943,NA,0,0,0,"Face-to-face",60,36,"Female","Local","Complete",4422.35833333333,4378.08614853993,4563.26199772289,0,2024-08-02
"HH00003_013","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-06-18,3,"Shack","Owned","Brick","Other","Well","Grid","VIP","Electricity",4,3,0,1,0,0,0,0,0,1,2182,1743,0,0,1,"Face-to-face",14,28,"Female","English","Complete",4422.35833333333,4145.92108963721,4321.2772686551,0,2024-02-14
"HH00003_014","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-07-01,5,"Traditional","Free","Iron","Iron","Well","Grid","None","Wood",4,3,0,1,0,0,0,1,1,0,1018,735,1,0,1,"Face-to-face",33,32,"Female","French","Complete",4422.35833333333,4336.31209278093,4519.72106347257,0,2024-04-09
"HH00003_015","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-06-23,3,"House","Owned","Wood","Tile","Borehole","None","Flush","Wood",3,0,1,0,0,0,0,0,0,0,2470,2230,1,0,0,"Face-to-face",54,23,"Female","French","Complete",4422.35833333333,4725.71560572608,4925.59481563594,0,2024-03-21
"HH00003_016","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-01-07,6,"House","Owned","Brick","Iron","Piped","Grid","None","Paraffin",3,1,0,0,0,0,0,0,0,1,5676,4757,0,0,0,"Face-to-face",41,42,"Female","English","Not Home",4422.35833333333,4042.63351947029,0,0,2024-07-20
"HH00003_017","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-02-03,6,"Other","Owned","Iron","Tile","Piped","Grid","Flush","Electricity",1,4,0,0,0,1,0,0,1,0,NA,396,1,1,0,"Face-to-face",29,29,"Female","English","Complete",4422.35833333333,5267.86384953106,5490.67380087075,1,2024-03-26
"HH00003_018","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-04-15,5,"Flat","Rented","Mud","Thatch","Other","None","None","Electricity",3,2,1,1,0,1,0,0,0,1,1358,1128,1,0,1,"Web",52,19,"Female","English","Partial",4422.35833333333,4599.92874935371,4794.48766926595,0,2024-03-29
"HH00003_019","EA04794","Comoros","Comoros_Urban","Urban","P8","D6",2024-06-25,8,"Flat","Owned","Iron","Iron","Piped","Grid","Pit","Electricity",5,2,1,1,0,0,0,0,0,1,NA,878,1,1,1,"Face-to-face",38,65,"Female","English","Complete",4422.35833333333,4467.30703557764,4656.25657786793,0,2024-04-29
"HH00004_001","EA02862","Eswatini","Eswatini_Rural","Rural","P2","D11",2024-01-11,6,"Shack","Rented","Brick","Iron","Well","Solar","Flush","Paraffin",2,1,1,1,0,0,0,0,0,0,7060,4786,1,0,0,"Face-to-face",30,51,"Female","French","Complete",6099.80459770115,5780.66247934008,6025.16179870793,0,2024-07-12
"HH00004_002","EA02862","Eswatini","Eswatini_Rural","Rural","P2","D11",2024-06-30,3,"Traditional","Free","Wood","Iron","Other","Grid","VIP","Electricity",3,2,1,1,0,0,0,0,0,0,245,183,1,1,0,"Face-to-face",56,49,"Female","Portuguese","Complete",6099.80459770115,5337.7105876313,5563.47478167009,0,2024-06-09
"HH00004_003","EA02862","Eswatini","Eswatini_Rural","Rural","P2","D11",2024-01-20,5,"House","Rented","Brick","Tile","Well","None","None","Electricity",3,3,1,1,0,1,1,0,0,1,3249,2427,1,1,1,"Face-to-face",72,38,"Female","Local","Complete",6099.80459770115,5749.31135428358,5992.48464419286,1,2024-05-31
"HH00004_004","EA02862","Eswatini","Eswatini_Rural","Rural","P2","D11",2024-02-07,2,"House","Free","Mud","Tile","River","Generator","Flush","Charcoal",2,2,1,1,0,0,0,0,0,1,1352,1229,0,1,0,"Face-to-face",29,54,"Male","Portuguese","Complete",6099.80459770115,5619.92609950318,5857.62690129485,0,2024-02-27
"HH00004_005","EA02862","Eswatini","Eswatini_Rural","Rural","P2","D11",2024-05-31,5,"Flat","Free","Wood","Tile","River","Grid","Flush","Other",3,3,1,1,1,0,0,0,0,1,405,367,1,1,1,"Face-to-face",38,56,"Female","English","Complete",6099.80459770115,7028.65222721234,7325.93661144489,0,2024-04-22
"HH00004_006","EA02862","Eswatini","Eswatini_Rural","Rural","P2","D11",2024-05-25,5,"House","Owned","Wood","Iron","Borehole","Grid","Flush","Wood",2,2,1,1,0,0,0,1,0,0,10974,6871,1,1,0,"Face-to-face",43,28,"Male","French","Complete",6099.80459770115,5523.12529915905,5756.73180728058,0,2024-05-23
"HH00004_007","EA02862","Eswatini","Eswatini_Rural","Rural","P2","D11",2024-03-18,3,"Flat","Owned","Wood","Iron","Borehole","Grid","None","Wood",4,2,1,0,0,0,0,0,0,0,5274,4753,0,0,0,"Face-to-face",46,35,"Male","English","Complete",6099.80459770115,7063.58513594662,7362.34704501989,0,2024-02-25
"HH00004_008","EA02862","Eswatini","Eswatini_Rural","Rural","P2","D11",2024-05-18,4,"House","Free","Wood","Iron","Piped","Grid","Pit","Wood",3,3,0,0,0,0,0,0,0,0,2094,1843,0,0,1,"Telephone",42,38,"Female","Portuguese","Complete",6099.80459770115,5164.77322523352,5383.22284805306,0,2024-05-25
"HH00004_009","EA02862","Eswatini","Eswatini_Rural","Rural","P2","D11",2024-05-04,7,"Shack","Owned","Brick","Tile","Well","None","Pit","Wood",5,4,1,0,1,0,1,0,0,1,1258,1098,0,0,0,"Face-to-face",30,47,"Male","Local","Complete",6099.80459770115,5849.81599724804,6097.24023882349,0,2024-06-26
"HH00004_010","EA02862","Eswatini","Eswatini_Rural","Rural","P2","D11",2024-05-07,4,"Traditional","Owned","Mud","Iron","Other","Grid","None","Electricity",2,1,1,0,1,0,0,0,0,1,2482,NA,1,0,1,"Face-to-face",30,35,"Female","Local","Complete",6099.80459770115,6844.18692007685,7133.66914630367,0,2024-06-06
"HH00004_011","EA02862","Eswatini","Eswatini_Rural","Rural","P2","D11",2024-02-20,6,"House","Other","Mud","Iron","Borehole","Solar","Flush","Charcoal",3,2,0,1,1,1,0,0,1,0,2206,1897,0,0,0,"Face-to-face",41,47,"Female","Portuguese","Complete",6099.80459770115,6234.01393849813,6497.68824405394,0,2024-04-07
"HH00005_001","EA02489","Angola","Angola_Urban","Urban","P8","D19",2023-12-27,2,"House","Free","Wood","Iron","Borehole","Grid","None","Electricity",2,2,1,1,0,0,0,0,0,1,261,209,0,1,1,"Face-to-face",41,47,"Male","French","Complete",3873.59854014599,4499.57387321913,4689.8881760139,0,2024-05-25
"HH00005_002","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-03-19,1,"House","Owned","Brick","Iron","Well","Grid","Pit","Wood",5,1,1,0,0,0,0,0,0,1,3755,3027,0,0,1,"Face-to-face",41,38,"Male","Local","Complete",3873.59854014599,3847.71896634339,4010.46236673253,0,2024-03-05
"HH00005_003","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-05-27,3,"House","Free","Brick","Thatch","Well","None","VIP","Gas",2,1,1,1,0,1,0,0,0,1,1851,1289,0,1,0,"Face-to-face",48,45,"Female","English","Complete",3873.59854014599,3250.33492238643,3387.81132393752,0,2024-06-08
"HH00005_004","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-06-30,2,"Shack","Owned","Brick","Concrete","River","Generator","Pit","Gas",3,1,1,1,0,0,0,0,0,0,3480,NA,1,0,1,"Face-to-face",20,35,"Male","French","Complete",3873.59854014599,3221.50156642125,3357.7584302578,0,2024-07-07
"HH00005_005","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-03-14,7,"Other","Owned","Brick","Tile","Piped","Generator","Other","Other",4,2,0,0,1,0,0,0,0,0,8731,6645,1,1,1,"Telephone",40,38,"Female","French","Complete",3873.59854014599,3244.17422823883,3381.39005662356,0,2024-06-05
"HH00005_006","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-01-29,6,"House","Free","Wood","Thatch","Piped","Grid","Pit","Paraffin",3,4,1,0,0,1,0,0,0,0,635,550,0,1,0,"Face-to-face",55,36,"Male","Local","Complete",3873.59854014599,3604.51661961813,3756.97351591618,0,2024-03-31
"HH00005_007","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-04-24,6,"House","Owned","Brick","Iron","Borehole","None","None","Electricity",3,3,1,0,0,1,1,0,0,0,NA,1518,0,1,0,"Face-to-face",55,64,"Male","Local","Complete",3873.59854014599,3909.79373349822,4075.16265273984,0,2024-07-15
"HH00005_008","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-05-10,6,"Flat","Owned","Brick","Iron","Piped","None","None","Electricity",3,2,0,0,1,1,0,0,1,0,1089,947,0,1,1,"Face-to-face",55,35,"Female","French","Complete",3873.59854014599,4112.60118647782,4286.54806445573,0,2024-04-08
"HH00005_009","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-07-03,2,"House","Owned","Iron","Concrete","Other","Generator","Flush","Gas",3,3,1,0,0,0,0,0,0,0,2496,1633,0,0,0,"Face-to-face",49,35,"Male","French","Complete",3873.59854014599,3842.8630969903,4005.40111317721,0,2024-03-09
"HH00005_010","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-02-22,5,"House","Rented","Brick","Thatch","Borehole","None","Pit","Paraffin",5,4,1,1,0,0,0,0,0,1,1119,826,0,1,0,"Telephone",39,36,"Female","Portuguese","Complete",3873.59854014599,4312.61481224838,4495.02148104439,0,2024-02-19
"HH00005_011","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-04-01,6,"Flat","Owned","Brick","Iron","Well","Grid","Pit","Charcoal",2,3,1,1,0,0,0,0,0,1,1313,804,0,0,0,"Face-to-face",46,57,"Female","English","Complete",3873.59854014599,3276.51148143332,3415.09504862385,0,2024-05-03
"HH00005_012","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-06-08,7,"Other","Free","Brick","Tile","Piped","Grid","Flush","Electricity",2,2,1,1,1,0,0,0,0,0,475,410,0,1,1,"Face-to-face",69,55,"Male","English","Complete",3873.59854014599,3537.78601311327,3687.42046684011,0,2024-06-05
"HH00005_013","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-01-18,5,"House","Other","Iron","Other","Borehole","None","VIP","Electricity",3,0,0,0,1,0,0,0,1,0,7305,4394,1,0,1,"Face-to-face",56,45,"Female","English","Complete",3873.59854014599,3275.01932997116,3413.53978501526,1,2024-02-05
"HH00005_014","EA02489","Angola","Angola_Urban","Urban","P8","D19",2023-12-25,3,"House","Free","Mud","Iron","Well","None","Flush","Wood",4,2,1,0,0,0,0,0,0,1,8630,7151,1,1,0,"Face-to-face",39,31,"Male","English","Complete",3873.59854014599,4169.1060664957,4345.44287897588,1,2024-07-09
"HH00005_015","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-07-07,6,"House","Owned","Brick","Iron","Piped","Grid","None","Electricity",6,4,1,0,0,0,0,0,0,0,4331,2957,0,0,0,"Face-to-face",46,29,"Male","Local","Complete",3873.59854014599,4453.11136711944,4641.46048838734,0,2024-06-18
"HH00005_016","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-03-22,3,"House","Owned","Wood","Concrete","Piped","Grid","Pit","Charcoal",3,3,0,0,0,1,0,1,0,0,6385,4023,0,0,1,"Telephone",84,56,"Male","Portuguese","Complete",3873.59854014599,3634.6194732509,3788.34960202888,0,2024-06-12
"HH00005_017","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-02-24,3,"House","Rented","Mud","Thatch","Borehole","Generator","Pit","Wood",1,2,1,1,0,1,1,0,0,0,730,601,1,1,0,"Face-to-face",38,31,"Male","Local","Partial",3873.59854014599,4485.04606495181,4674.74589851473,0,2024-07-20
"HH00005_018","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-03-21,5,"Flat","Owned","Brick","Iron","Piped","Grid","Pit","Gas",1,2,0,1,0,0,0,0,0,1,1996,1281,0,1,1,"Telephone",18,30,"Male","Local","Refused",3873.59854014599,4071.28175593613,0,0,2024-02-23
"HH00005_019","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-01-15,4,"House","Free","Mud","Tile","Piped","Grid","Flush","Gas",2,2,0,1,1,0,0,0,0,1,299,219,1,1,1,"Face-to-face",63,57,"Male","Local","Complete",3873.59854014599,4467.3196247936,4656.26969955828,0,2024-06-16
"HH00005_020","EA02489","Angola","Angola_Urban","Urban","P8","D19",2024-02-16,3,"House","Owned","Brick","Iron","Borehole","Grid","VIP","Electricity",3,2,1,0,0,0,0,0,0,1,796,521,1,1,0,"Face-to-face",41,46,"Female","English","Complete",3873.59854014599,3681.62808929335,3837.34649790395,0,2024-03-22
"HH00006_001","EA03757","Botswana","Botswana_Rural","Rural","P1","D14",2024-03-21,7,"Traditional","Owned","Brick","Tile","Well","None","Other","Electricity",5,1,1,0,0,0,0,0,0,0,1644,1159,1,1,0,"Face-to-face",25,64,"Female","Portuguese","Complete",4913.73148148148,4727.0752572265,4927.01197505481,0,2024-03-30
"HH00006_002","EA03757","Botswana","Botswana_Rural","Rural","P1","D14",2024-06-25,4,"House","Owned","Brick","Iron","Borehole","None","Flush","Wood",5,1,0,1,1,1,0,0,0,0,153,123,0,0,0,"Face-to-face",63,65,"Female","English","Complete",4913.73148148148,4982.58090253931,5193.32450566786,0,2024-04-28
"HH00006_003","EA03757","Botswana","Botswana_Rural","Rural","P1","D14",2024-01-31,4,"Shack","Owned","Iron","Thatch","Borehole","Grid","Pit","Charcoal",3,3,1,1,0,0,0,1,1,1,684,554,0,0,1,"Face-to-face",84,26,"Male","English","Complete",4913.73148148148,4035.77160688937,4206.46889539828,0,2024-05-16
