"person_id","household_id","ea_id","member_number","relationship","age","gender","marital_status","education_level","employment_status","occupation_code","industry_code","hours_worked_week","income_monthly","chronic_illness","disability","school_attendance","literacy","birth_certificate","id_document","mobile_phone","migrant_status"
"HH00002_005_03","HH00002_005","EA01271",3,"Child",24,"Male","Widowed","Secondary complete","Unemployed",NA,NA,NA,NA,1,0,"Attending",1,1,1,1,"International"
"HH00002_005_04","HH00002_005","EA01271",4,"Child",8,"Female","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,0,"Attending",1,0,0,0,"Non-migrant"
"HH00002_005_05","HH00002_005","EA01271",5,"Child",16,"Female","Married","Primary incomplete","Employed",NA,NA,27,610,0,0,"Not attending",0,1,1,1,"Non-migrant"
"HH00002_005_06","HH00002_005","EA01271",6,"Sibling",13,"Male","Never married","Primary complete","Not applicable",NA,NA,NA,NA,0,0,"Not attending",1,1,0,1,"Non-migrant"
"HH00002_005_07","HH00002_005","EA01271",7,"Child",0,"Female","Never married","None","Not applicable",NA,NA,NA,NA,1,0,"Not applicable",NA,1,0,0,"Non-migrant"
"HH00002_006_01","HH00002_006","EA01271",1,"Head",29,"Male","Widowed","Tertiary","Employed",NA,NA,41,4904,0,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00002_006_02","HH00002_006","EA01271",2,"Spouse",23,"Female","Married","Primary complete","Employed",NA,NA,56,517,1,0,"Attending",1,1,1,1,"Non-migrant"
"HH00002_006_03","HH00002_006","EA01271",3,"Child",7,"Female","Never married","Primary complete","Not applicable",NA,NA,NA,NA,0,1,"Attending",1,1,0,0,"Non-migrant"
"HH00002_006_04","HH00002_006","EA01271",4,"Parent",54,"Male","Married","Tertiary","Employed",NA,NA,53,1402,0,0,"Not attending",1,0,1,0,"Non-migrant"
"HH00002_006_05","HH00002_006","EA01271",5,"Other relative",63,"Female","Married","Secondary incomplete","Student",NA,NA,NA,NA,0,1,"Not attending",1,1,1,0,"Non-migrant"
"HH00002_006_06","HH00002_006","EA01271",6,"Sibling",54,"Male","Widowed","Secondary incomplete","Homemaker",NA,NA,NA,NA,1,0,"Not attending",1,0,1,1,"Non-migrant"
"HH00002_007_01","HH00002_007","EA01271",1,"Head",27,"Female","Married","None","Unemployed",NA,NA,NA,NA,1,1,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_007_02","HH00002_007","EA01271",2,"Spouse",29,"Male","Divorced",NA,"Student",NA,NA,NA,NA,1,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_007_03","HH00002_007","EA01271",3,"Child",5,"Female","Never married",NA,"Not applicable",NA,NA,NA,NA,0,0,"Attending",0,0,0,0,"Non-migrant"
"HH00002_007_04","HH00002_007","EA01271",4,"Child",3,"Male","Never married","None","Not applicable",NA,NA,NA,NA,0,0,"Not applicable",NA,1,0,0,"Non-migrant"
"HH00002_007_05","HH00002_007","EA01271",5,"Parent",49,"Male","Married",NA,"Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,0,1,0,"Non-migrant"
"HH00002_007_06","HH00002_007","EA01271",6,"Child",9,"Male","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,1,0,"Not attending",1,1,0,0,"Non-migrant"
"HH00002_008_01","HH00002_008","EA01271",1,"Head",32,"Male","Widowed","None","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_008_02","HH00002_008","EA01271",2,"Spouse",28,"Female","Widowed","Secondary incomplete","Employed",NA,NA,40,221,0,1,"Not attending",1,1,1,1,"International"
"HH00002_008_03","HH00002_008","EA01271",3,"Child",8,"Male","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,1,0,"Attending",1,1,0,0,"Internal"
"HH00002_008_04","HH00002_008","EA01271",4,"Grandchild",39,"Female","Separated","Secondary complete","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_008_05","HH00002_008","EA01271",5,"Other relative",38,"Female","Married","Secondary incomplete","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00002_008_06","HH00002_008","EA01271",6,"Child",2,"Female","Never married","None","Not applicable",NA,NA,NA,NA,0,0,"Not applicable",NA,1,0,0,"Non-migrant"
"HH00002_009_01","HH00002_009","EA01271",1,"Head",49,"Male","Widowed","Primary complete","Employed",NA,NA,39,2527,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_009_02","HH00002_009","EA01271",2,"Spouse",51,"Female","Never married","Secondary complete","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,0,1,0,"Internal"
"HH00002_009_03","HH00002_009","EA01271",3,"Child",12,"Male","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,0,"Attending",1,1,0,1,"Non-migrant"
"HH00002_010_01","HH00002_010","EA01271",1,"Head",61,"Male","Widowed","Secondary complete","Homemaker",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_010_02","HH00002_010","EA01271",2,"Spouse",61,"Female","Married","Secondary complete","Employed",NA,NA,37,NA,0,0,"Not attending",1,1,0,1,"Non-migrant"
"HH00002_010_03","HH00002_010","EA01271",3,"Sibling",6,"Female","Never married","Primary complete","Not applicable",NA,NA,NA,NA,0,1,"Attending",1,1,0,0,"Non-migrant"
"HH00002_010_04","HH00002_010","EA01271",4,"Other relative",16,"Male","Divorced","Secondary complete","Employed",NA,NA,43,874,0,0,"Attending",1,1,1,1,"Internal"
"HH00002_010_05","HH00002_010","EA01271",5,"Parent",98,"Male","Married","None","Retired",NA,NA,NA,NA,0,0,"Not attending",0,0,1,0,"Internal"
"HH00002_011_01","HH00002_011","EA01271",1,"Head",64,"Male","Divorced","Secondary complete","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00002_011_02","HH00002_011","EA01271",2,"Spouse",58,"Female","Married","Secondary incomplete","Employed",NA,NA,38,1072,1,1,"Not attending",1,0,1,1,"Non-migrant"
"HH00002_011_03","HH00002_011","EA01271",3,"Grandchild",32,"Male","Separated","Primary complete","Employed",NA,NA,50,739,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_011_04","HH00002_011","EA01271",4,"Child",14,"Female","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,1,"Attending",1,0,0,0,"Non-migrant"
"HH00002_012_01","HH00002_012","EA01271",1,"Head",50,"Female","Married","None","Homemaker",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_012_02","HH00002_012","EA01271",2,"Child",27,"Female","Married","None","Employed",NA,NA,41,767,0,0,"Not attending",0,1,1,0,"Non-migrant"
"HH00002_012_03","HH00002_012","EA01271",3,"Other relative",51,"Male","Married","Tertiary","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_012_04","HH00002_012","EA01271",4,"Other relative",13,"Male","Never married","Primary complete","Not applicable",NA,NA,NA,NA,0,0,"Attending",1,1,0,1,"Non-migrant"
"HH00002_012_05","HH00002_012","EA01271",5,"Child",23,"Male","Widowed","Secondary incomplete","Student",NA,NA,NA,NA,1,0,"Attending",1,1,1,1,"Non-migrant"
"HH00002_012_06","HH00002_012","EA01271",6,"Child",9,"Male","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,0,"Not attending",0,1,0,0,"Non-migrant"
"HH00002_012_07","HH00002_012","EA01271",7,"Non-relative",41,"Male","Married","None","Employed",NA,NA,31,1538,1,0,"Not attending",0,1,1,1,"Internal"
"HH00002_012_08","HH00002_012","EA01271",8,"Parent",74,"Male","Never married","None","Retired",NA,NA,NA,NA,0,0,"Not attending",0,0,1,1,"Non-migrant"
"HH00002_013_01","HH00002_013","EA01271",1,"Head",60,"Male","Never married","Secondary complete","Employed",NA,NA,39,468,0,0,"Not attending",1,1,0,1,"International"
"HH00002_013_02","HH00002_013","EA01271",2,"Spouse",58,"Female","Separated","Tertiary","Employed",NA,NA,38,699,1,0,"Not attending",1,1,1,0,"International"
"HH00002_013_03","HH00002_013","EA01271",3,"Other relative",43,"Female","Never married","Secondary incomplete","Unemployed",NA,NA,NA,NA,1,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_013_04","HH00002_013","EA01271",4,"Grandchild",11,"Female","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,0,"Not attending",0,1,0,0,"Non-migrant"
"HH00002_013_05","HH00002_013","EA01271",5,"Child",22,"Male","Separated","Primary incomplete","Employed",NA,NA,41,393,1,0,"Attending",1,1,0,0,"Non-migrant"
"HH00002_013_06","HH00002_013","EA01271",6,"Non-relative",1,"Male","Never married","None","Not applicable",NA,NA,NA,NA,0,0,"Not applicable",NA,1,0,0,"Non-migrant"
"HH00002_013_07","HH00002_013","EA01271",7,"Grandchild",45,"Female","Married","Primary incomplete","Employed",NA,NA,42,415,1,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_014_01","HH00002_014","EA01271",1,"Head",50,"Female","Widowed","Primary incomplete","Employed",NA,NA,29,721,0,0,"Not attending",1,1,0,0,"Internal"
"HH00002_014_02","HH00002_014","EA01271",2,"Spouse",52,"Male","Married","Secondary complete","Student",NA,NA,NA,NA,0,0,"Not attending",1,0,1,1,"Non-migrant"
"HH00002_014_03","HH00002_014","EA01271",3,"Sibling",20,"Male","Never married","Secondary incomplete","Employed",NA,NA,37,226,1,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_015_01","HH00002_015","EA01271",1,"Head",52,"Female","Widowed","None","Employed",NA,NA,54,495,1,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00002_015_02","HH00002_015","EA01271",2,"Spouse",49,"Male","Widowed","Secondary incomplete","Employed",NA,NA,55,NA,0,1,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_015_03","HH00002_015","EA01271",3,"Child",22,"Female","Divorced","Primary complete","Employed",NA,NA,32,736,1,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_015_04","HH00002_015","EA01271",4,"Non-relative",35,"Male","Never married","Secondary complete","Student",NA,NA,NA,NA,0,0,"Not attending",1,0,0,1,"Non-migrant"
"HH00002_015_05","HH00002_015","EA01271",5,"Child",15,"Female","Married","Primary complete","Student",NA,NA,NA,NA,0,0,"Attending",1,1,0,1,"Non-migrant"
"HH00002_016_01","HH00002_016","EA01271",1,"Head",44,"Female","Married","None","Employed",NA,NA,43,172,1,0,"Not attending",0,1,1,1,"Non-migrant"
"HH00002_016_02","HH00002_016","EA01271",2,"Spouse",39,"Male","Married","None","Homemaker",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_016_03","HH00002_016","EA01271",3,"Child",11,"Male","Never married","None","Not applicable",NA,NA,NA,NA,0,0,"Not attending",1,1,0,0,"Non-migrant"
"HH00002_017_01","HH00002_017","EA01271",1,"Head",65,"Male","Never married","Secondary complete","Employed",NA,NA,19,52,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_017_02","HH00002_017","EA01271",2,"Spouse",62,"Female","Never married","Primary complete","Homemaker",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_017_03","HH00002_017","EA01271",3,"Other relative",6,"Male","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,0,"Not attending",1,1,0,0,"Non-migrant"
"HH00002_018_01","HH00002_018","EA01271",1,"Head",63,"Male","Widowed","Secondary complete","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00002_018_02","HH00002_018","EA01271",2,"Sibling",44,"Female","Divorced","Secondary incomplete","Employed",NA,NA,53,2302,0,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00002_018_03","HH00002_018","EA01271",3,"Non-relative",36,"Female","Never married","None","Unemployed",NA,NA,NA,NA,0,0,"Not attending",0,1,1,0,"Non-migrant"
"HH00002_019_01","HH00002_019","EA01271",1,"Head",61,"Male","Never married","None","Employed",NA,NA,48,4335,0,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00002_019_02","HH00002_019","EA01271",2,"Grandchild",18,"Female","Married","Secondary incomplete","Unemployed",NA,NA,NA,NA,1,0,"Attending",1,1,1,1,"Non-migrant"
"HH00002_019_03","HH00002_019","EA01271",3,"Child",20,"Female","Married","Secondary complete","Employed",NA,NA,42,1212,0,0,"Attending",1,1,1,0,"Non-migrant"
"HH00002_019_04","HH00002_019","EA01271",4,"Parent",87,"Female","Separated","Primary incomplete","Employed",NA,NA,21,636,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_019_05","HH00002_019","EA01271",5,"Child",1,"Female","Never married","None","Not applicable",NA,NA,NA,NA,0,0,"Not applicable",NA,1,0,0,"Non-migrant"
"HH00002_020_01","HH00002_020","EA01271",1,"Head",44,"Female","Married","Secondary complete","Homemaker",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00002_020_02","HH00002_020","EA01271",2,"Spouse",38,"Male","Married","Primary complete","Unemployed",NA,NA,NA,NA,0,1,"Not attending",1,1,1,1,"Non-migrant"
"HH00003_001_01","HH00003_001","EA04794",1,"Head",49,"Male","Widowed","Secondary complete","Employed",NA,NA,42,616,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00003_001_02","HH00003_001","EA04794",2,"Sibling",10,"Female","Never married","None","Not applicable",NA,NA,NA,NA,0,0,"Attending",0,1,0,0,"Internal"
"HH00003_001_03","HH00003_001","EA04794",3,"Sibling",49,"Female","Widowed","Primary complete","Homemaker",NA,NA,NA,NA,0,0,"Not attending",1,0,1,1,"Non-migrant"
"HH00003_001_04","HH00003_001","EA04794",4,"Parent",88,"Female","Married","Tertiary","Retired",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Internal"
"HH00003_002_01","HH00003_002","EA04794",1,"Head",36,"Female","Never married","Secondary complete","Employed",NA,NA,39,1680,0,0,"Not attending",1,0,1,0,"Non-migrant"
"HH00003_002_02","HH00003_002","EA04794",2,"Sibling",43,"Female","Married","Primary complete","Homemaker",NA,NA,NA,NA,1,0,"Not attending",1,1,1,0,"Non-migrant"
"HH00003_002_03","HH00003_002","EA04794",3,"Child",12,"Female","Never married","Primary complete","Not applicable",NA,NA,NA,NA,0,0,"Attending",1,1,0,0,"Non-migrant"
"HH00003_002_04","HH00003_002","EA04794",4,"Child",3,"Female","Never married","None","Not applicable",NA,NA,NA,NA,0,0,"Not applicable",NA,1,0,0,"Non-migrant"
"HH00003_003_01","HH00003_003","EA04794",1,"Head",48,"Male","Never married","Secondary incomplete","Unemployed",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00003_003_02","HH00003_003","EA04794",2,"Spouse",48,"Female","Never married","Secondary complete","Employed",NA,NA,54,NA,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00003_004_01","HH00003_004","EA04794",1,"Head",55,"Male","Married","None","Employed",NA,NA,29,202,0,0,"Not attending",0,0,0,1,"Non-migrant"
"HH00003_004_02","HH00003_004","EA04794",2,"Child",8,"Female","Never married","Primary incomplete","Not applicable",NA,NA,NA,NA,0,1,"Attending",0,1,0,0,"Non-migrant"
"HH00003_004_03","HH00003_004","EA04794",3,"Child",22,"Female","Married","Primary incomplete","Unemployed",NA,NA,NA,NA,0,0,"Attending",0,1,0,0,"Non-migrant"
"HH00003_005_01","HH00003_005","EA04794",1,"Head",48,"Female","Married","None","Employed",NA,NA,14,152,0,0,"Not attending",0,1,1,0,"Non-migrant"
"HH00003_005_02","HH00003_005","EA04794",2,"Spouse",46,"Male","Widowed","Secondary complete","Employed",NA,NA,48,798,0,1,"Not attending",1,1,1,1,"Non-migrant"
"HH00003_005_03","HH00003_005","EA04794",3,"Child",1,"Female","Never married","None","Not applicable",NA,NA,NA,NA,0,0,"Not applicable",NA,1,0,0,"Non-migrant"
"HH00003_005_04","HH00003_005","EA04794",4,"Sibling",26,"Female","Married","Primary complete","Employed",NA,NA,50,312,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00003_005_05","HH00003_005","EA04794",5,"Grandchild",46,"Female","Married","Primary incomplete","Homemaker",NA,NA,NA,NA,0,1,"Not attending",0,1,0,1,"Non-migrant"
"HH00003_005_06","HH00003_005","EA04794",6,"Parent",70,"Female","Widowed","Primary incomplete","Retired",NA,NA,NA,NA,0,0,"Not attending",1,1,1,1,"Non-migrant"
"HH00003_005_07","HH00003_005","EA04794",7,"Sibling",19,"Female","Widowed","None","Student",NA,NA,NA,NA,1,0,"Attending",0,1,1,0,"Non-migrant"
