"area_id","district_code","area_name","area_type","total_population","sample_size","direct_estimate_poverty","direct_estimate_se","auxiliary_mean_income","auxiliary_unemployment","auxiliary_education_years","auxiliary_asset_index","auxiliary_dependency_ratio","auxiliary_urbanization","satellite_nightlights","satellite_vegetation","distance_to_road_km","distance_to_market_km","climate_rainfall_mm","climate_temperature_c","model_based_estimate","model_based_mse","fh_estimate","fh_mse","synthetic_estimate","composite_estimate","reliability_flag"
"SA0019","D105","Area 19","Rural scattered",4938,14,0.191624716606781,0.0166026754297846,730.979157579256,0.158493224775223,12.0383915194875,-0.291393416745419,0.889426842648553,0.297866306771699,46.4986167726969,0.390301625312011,0.0792818539775908,0.891232965514064,249.450745312876,25.7636060379022,0.493912454391769,0.00000614921719695319,0.48078535165084,0.00000739440199966394,0.488756030765291,0.394037161137622,"Use with caution"
"SA0020","D131","Area 20","Commercial",1904,42,0.301724483068123,0.00398467739561954,3132.79772965024,0.182427637360178,8.41209526670743,0.404715426310925,0.907343849501271,0.139986654780809,14.0122076926618,0.309658196450127,0.905401627533138,4.98032720133131,714.655462211604,18.7653825037432,0.529515098643856,0.0000000210524463519962,0.500801293591352,0.0000000251700253912804,0.501117380861992,0.441078250434384,"Use with caution"
"SA0021","D121","Area 21","Rural village",10022,90,0.447468627861542,0.00324430110775279,882.866054185382,0.256864696890643,3.02458540849937,-1.23385729165082,0.813033113262851,0.502796249352808,113.407803100835,0.617271618539796,19.2560089648444,3.85637539488075,1114.19013243049,19.8322884771615,0.788205301918384,0.0000000113832458559151,0.787340711573578,0.0000000110669447943561,0.787698443584465,0.685379086459967,"Use with caution"
"SA0022","D147","Area 22","Rural village",9162,62,0.232307619912312,0.003485565482922,1130.43965053453,0.335741115302203,6.6445501475016,0.790835364401431,1.23814460406785,0.260547384801799,2.49309221995333,0.773145418937768,2.53567776795119,19.8806552953067,638.171860908166,22.426254281963,0.69676152398239,0.000000015953595652311,0.706484813026618,0.0000000147423145535163,0.707060898804761,0.564231655092327,"Reliable"
"SA0023","D140","Area 23","Urban formal",7229,67,0.380897322511468,0.0096146426763832,3566.82857308846,0.26788199683571,13.097502040449,1.67430766130354,0.630708394274428,0.364643174988386,39.3445268779909,0.693177551603351,3.2113351742737,5.28542820539189,724.665023229481,26.3128399989784,0.422569316659486,0.000000834696137266572,0.451890647112771,0.000000846713257159767,0.452546919016423,0.43059264973238,"Reliable"
"SA0024","D014","Area 24","Urban informal",2742,55,0.051524857212797,0.00569702456221161,839.477933627948,0.088297833934998,8.97627918177736,-0.0832586594276415,0.705830305091218,0.58794821245081,0.72009764085899,0.802383692168227,11.7300764930652,7.35107760834408,1043.22128087113,23.350110938854,0.609805449346417,0.0000000842833143510793,0.605082416500527,0.000000104998984786605,0.606879047833999,0.439015148714208,"Use with caution"
"SA0025","D045","Area 25","Rural scattered",8137,58,0.548900743219135,0.00234048815175853,3013.3398188898,0.269644786849709,7.54857248777352,-0.485579659161794,0.744697218939356,0.554876679179998,12.7802043338669,0.296137784830326,5.21567002849138,16.3457576735857,599.664741710281,18.3246156173098,0.565990521366822,0.00000000327576199028738,0.590238978393323,0.00000000299907931453646,0.590261623002288,0.577837507841067,"Reliable"
"SA0026","D085","Area 26","Urban formal",4442,37,0.213069910365193,0.000103965696729159,277.638352242356,0.045356092346588,5.95367576027828,0.632747602923545,0.714299016419443,0.370050873002569,1.56916962572628,0.480851194348006,5.74631653239435,6.83992584701627,535.412249500536,23.9666085835855,0.684712620470403,0.000000000000013565280469606,0.660943884640078,0.00000000000001168314600079,0.66094436874106,0.526581692357612,"Reliable"
"SA0027","D036","Area 27","Urban informal",3803,77,0.251839481153619,0.00722994114124946,967.133048496879,0.18264603608407,3.57895014630827,0.395900350486932,0.842622085502555,0.604147783215521,8.46395228292318,0.727028537400309,13.8848883277717,6.06955628842115,884.003051719566,25.5820019458198,0.765613993572007,0.000000272007892137579,0.773258489396816,0.00000027181587242473,0.775984053386753,0.616832786923857,"Use with caution"
"SA0028","D047","Area 28","Industrial",3003,46,0.25100154642051,0.0110061159175076,1326.74306871732,0.33276835566596,12.4917642930129,-0.462198785763228,0.969095317890508,0.696261477541074,10.3169870786183,0.534120957003405,4.67036829309022,2.2931274259463,1334.73848837704,20.522648115127,0.550643375991243,0.00000159292245378993,0.555091614575816,0.00000144979677757656,0.558775197075425,0.463864594129224,"Use with caution"
"SA0029","D095","Area 29","Urban informal",2010,29,0.380685589749269,0.00595024541470207,3468.99425944166,0.226326153789728,12.1100516260324,-0.146002728561591,1.11882399742579,0.585006499610571,5.02827269662134,0.701484805110383,14.663818501135,3.30517262613097,778.955342843883,22.4706685921783,0.48510659100981,0.000000105808642680782,0.470193555659239,0.000000124912123418614,0.47051046237631,0.443341165886248,"Reliable"
"SA0030","D135","Area 30","Rural scattered",3445,45,0.117820748800585,0.00343301735835152,3123.97680834541,0.243048299348449,5.57767025626476,1.97938793575967,0.827646666469611,0.718878088400163,1.48414744820201,0.541974021484956,11.3309428451642,10.9561712476881,870.481390243334,20.0206798681089,0.682962212837378,0.000000014779787989494,0.679766442623779,0.0000000138737050185743,0.680428729800517,0.511182734476821,"Reliable"
"SA0031","D084","Area 31","Rural village",1321,23,0.379980742540095,0.000850687911858381,673.737798847088,0.210424494115569,8.9203035724157,-1.56109554932817,0.388354347251574,0.386762577270798,16.1583783686584,0.709493770751937,2.22708029905334,7.83335279631329,441.65497341564,25.3046155027872,0.648567078495551,0.0000000000555030977934894,0.610949712592225,0.000000000052366026228948,0.610966427121911,0.541659021576586,"Reliable"
"SA0032","D113","Area 32","Commercial",7067,80,0.214013422394286,0.0106981010058193,3142.07262472685,0.138891358082673,16.311187285858,-0.873875070556422,0.953090024039543,0.216112865353659,4.84535061890136,0.68613170760746,6.20142888256765,6.21732132509351,414.43168183738,21.411647813941,0.270455948642085,0.00000137285907475046,0.29313809913149,0.00000129504402127715,0.294043676033365,0.269400696110329,"Reliable"
"SA0033","D068","Area 33","Rural village",3019,63,0.0905331197870308,0.0114086793616315,739.054802908445,0.099843073529618,9.81028845891343,-0.0760813771648307,0.334898962146338,0.24471809723448,7.62623061550826,0.536399606405498,5.1361893720687,2.79765952797032,857.181480662738,19.7011238849658,0.510825668857025,0.00000171373840762061,0.555547792385555,0.00000167234270715923,0.561600328723219,0.416043390605998,"Reliable"
"SA0034","D089","Area 34","Urban informal",1061,61,0.223892573802546,0.000706834514800277,860.867066000402,0.105345125337353,6.43383681212199,2.28876999959544,0.673970527675562,0.392044272725706,90.7232438532651,0.533061046601069,19.4474849373776,4.69273423310369,891.737910646735,26.1876700536751,0.671936484409538,0.0000000000266208694053271,0.688739854228069,0.0000000000249602708987306,0.688763078696925,0.549285670100412,"Reliable"
"SA0035","D097","Area 35","Urban informal",3561,36,0.319607242153728,0.00249596114753596,905.105246493495,0.457346220529823,11.3748721908304,-1.33656761969297,1.1888427872558,0.437260776046365,18.9742412062875,0.49207782622229,0.236391420140263,10.5403490919144,1071.6165439282,16.9572940320363,0.594639673103392,0.00000000428617564247843,0.560821435886879,0.00000000387865194633593,0.560971708037169,0.488457177766934,"Use with caution"
"SA0036","D085","Area 36","Commercial",5221,21,0.616372239946795,0.0121136740529145,1143.25150623249,0.23317632728639,9.16606609916931,-0.815589730736861,1.07506804878703,0.504800267498884,5.16239435832695,0.394430387948801,0.505320785236136,10.7897619153829,324.975495638042,19.645739283196,0.545922081655711,0.00000218596238474844,0.541860273534494,0.00000212215429005135,0.540766876750046,0.564213863458184,"Reliable"
"SA0037","D062","Area 37","Rural village",1178,51,0.0507723811014308,0.00348362049821358,3562.78036639244,0.178988493618759,7.65298192495953,0.427783837140001,1.06029151057839,0.207299610258673,11.3518587272627,0.640870608505838,2.96382170636207,9.54303447115135,786.141841831026,21.836289455316,0.541663310194812,0.0000000164344693570904,0.533545732328424,0.0000000147094564914037,0.534131607325032,0.388713726960326,"Reliable"
"SA0038","D111","Area 38","Rural scattered",2173,61,0.266845368882001,0.00307094598659426,1092.38434339118,0.196914794203305,6.34996310088792,-0.786176037361734,0.341525129962633,0.378323482806469,7.56455205412774,0.401755428678806,3.76999513690776,12.7476533963801,913.670688578504,20.27308514294,0.750032424407993,0.0000000103625470488196,0.73543348545667,0.00000000888544809291436,0.735875397285333,0.594857050484269,"Use with caution"
"SA0039","D116","Area 39","Urban informal",483,20,0.299766392741416,0.00134679913163236,842.323555814117,0.17153333606327,7.96093661968635,-0.227045627326246,1.00366333191898,0.537444818446758,5.7138832189292,0.663302370429051,1.9437619484961,12.6017524390937,820.790316373857,22.8823628772717,0.67880029457057,0.000000000301629048768995,0.638768256596896,0.000000000328952008666413,0.638829747056817,0.537067697440252,"Reliable"
"SA0040","D067","Area 40","Urban formal",7703,36,0.172954155607684,0.0052294873237232,3196.94299991338,0.27680717296508,3.82177223754296,-0.332491814827862,0.990037335474479,0.315313027254998,2.04484075375133,0.533956117650734,2.09562413627282,12.0299263294311,994.55078998915,28.8487457303297,0.735524623483376,0.0000000893090787691958,0.727857586693361,0.0000000745848105639938,0.729375110941787,0.561386557367658,"Reliable"
"SA0041","D015","Area 41","Commercial",20346,94,0.341265268159979,0.00791621123608999,1905.50276547216,0.413974439571574,5.30192184010441,-2.36421348001849,0.511498993868909,0.696064160857463,40.6096152264331,0.79884886787769,6.25634196193373,13.6674516271324,121.374875951745,21.5336999881858,0.886738590057481,0.000000325086108763709,0.850586990494433,0.000000390262140732447,0.853778726389515,0.697790473794097,"Use with caution"
"SA0042","D130","Area 42","Urban informal",1510,87,0.165280612500432,0.0056556775454201,555.5307936529,0.0955039737800439,10.3099561618742,-1.64143921256782,0.254349234730395,0.198465180290644,2.2689676959332,0.405745736187467,7.26674385326815,2.15786871500313,595.537870585927,21.7126783197501,0.499058928110659,0.000000118306501893945,0.495684198393677,0.000000101988596359125,0.496741050051729,0.396563122625704,"Use with caution"
"SA0043","D032","Area 43","Urban informal",678,43,0.534160948561552,0.0119856204068223,4945.94597976277,0.305009016732034,2.45185612119759,1.58361010576199,0.695019102166246,0.666926526886446,35.5579861886749,0.765639063870768,14.3566927677932,0.6142169656232,379.128781383828,27.7453847533459,0.702771634793859,0.00000212223497859997,0.690949855085549,0.00000203445272581665,0.693202207635804,0.64391318312835,"Reliable"
"SA0044","D073","Area 44","Urban informal",1217,45,0.341985396035037,0.00309854749681517,735.974991900139,0.152270641724129,8.08949952020257,1.74969108882455,1.03354209040733,0.468122267928638,44.1804224907333,0.705704662803767,7.49160811851164,2.20583904068917,1034.06187132585,21.8218788449193,0.617468049240337,0.000000008337898366732,0.6337582890164,0.0000000092090719253415,0.634038420071457,0.546226421121991,"Use with caution"
"SA0045","D124","Area 45","Urban informal",1697,67,0.243374660168123,0.00144479295837396,2685.67112567943,0.276301846041102,6.86778218733368,0.524767470289173,0.734133830509532,0.455883140130731,10.8521140228426,0.497867881648205,0.0238300408812952,4.69739665041411,599.472789737451,26.1948538222201,0.655456488602525,0.000000000405025775247203,0.653784064131019,0.000000000435644082175547,0.65386973408549,0.53066124294215,"Use with caution"
"SA0046","D146","Area 46","Industrial",10425,89,0.464133487282164,0.00138685735463368,1263.45987022494,0.0800690126573507,7.81717815190731,1.23503867580478,1.08206104680061,0.284825245859587,0.227912924416786,0.792108864073736,5.88518572018898,21.739583070061,1205.21901538221,24.9439259118353,0.561872068665447,0.000000000365454622353862,0.595149152064149,0.000000000369865354701582,0.595174351267591,0.555844452629553,"Use with caution"
"SA0047","D075","Area 47","Rural village",2196,39,0.211413931756919,0.00782307437278018,1092.01423152217,0.0481189994718079,8.2899520908498,1.1005868744275,0.996887429997651,0.30466185617459,19.1863864717946,0.607355720575014,5.2932378228516,19.4252432129326,760.155122880609,21.9731897556073,0.568941717761117,0.0000002999647923338,0.579428348705121,0.000000372271708765646,0.581680615066781,0.46902402362066,"Reliable"
"SA0048","D101","Area 48","Industrial",2363,41,0.539334524885699,0.000402740005740917,1412.34604518442,0.421086109780446,6.78679030856304,-0.760302346683106,0.825784410431037,0.349567405707077,124.262845381567,0.584888165292491,19.8511643231589,1.70007808599621,908.402428201824,19.3046360955825,0.729645134914096,0.00000000000310881347897254,0.74008848098654,0.00000000000263082550471527,0.740091737205916,0.679862294156288,"Reliable"
"SA0049","D023","Area 49","Commercial",8989,96,0.321728744523945,0.00339758251095612,587.496663650559,0.317125513616239,8.13968887450747,-0.104313521631991,1.22486595145646,0.351161211745103,9.8882692230158,0.890734749707676,1.08417425304651,2.33162189224864,704.914221575713,32.3257961333311,0.733847419684137,0.0000000122507372256072,0.784675739137892,0.0000000133100291995017,0.785210145099108,0.645791640753708,"Unreliable"
"SA0050","D056","Area 50","Urban formal",4159,71,0.282063144521806,0.00852973953767524,1985.86021863201,0.336446374300207,10.3193987183517,1.03734120134239,0.502639427355671,0.415179414607292,16.6137788683762,0.709973476970741,12.363908746581,3.21981682049864,280.329681551046,19.9832323192125,0.663828127183589,0.00000048546945686698,0.656993881298292,0.000000525526651714446,0.659721744485392,0.544514660265346,"Reliable"
"SA0051","D139","Area 51","Urban informal",1614,44,0.185460046391364,0.0101412820396776,2191.89160036673,0.275242356379332,8.55312711665595,0.587396093311922,0.585128813868346,0.658472681428103,65.4377547423544,0.495876571706073,4.67845524640238,7.4867126949788,834.239288765258,25.0821410215733,0.634451445181168,0.000000929596563608557,0.623185325550222,0.00000104695430835425,0.627687137508892,0.491867741802565,"Reliable"
"SA0052","D007","Area 52","Commercial",3820,74,0.355739267757211,0.00449107996290148,1541.74636754303,0.453448454856363,8.01726811927065,-0.387820570697151,0.322030521650206,0.508262463807385,1.99722042200018,0.793043650154881,8.63447071206805,29.6424218250399,480.563548753861,19.3771673504725,0.789081680534731,0.0000000446064285270175,0.80248665680159,0.0000000406001903418568,0.803387737316087,0.668462440088276,"Reliable"
"SA0053","D103","Area 53","Industrial",50110,47,0.251259013982066,0.00140289503206704,3157.60834561981,0.38974987164021,8.31882996563385,-1.05739187152599,0.752393735836267,0.298727863510308,1.27469023813511,0.622359540175565,1.05435666498981,11.2915494288774,385.979371337568,16.61715278221,0.638508056378684,0.000000000433316294480051,0.649987424784352,0.000000000387271237682611,0.650065899099882,0.530368901543666,"Use with caution"
"SA0054","D043","Area 54","Commercial",1163,59,0.327568421952084,0.00495097511730365,544.557378349084,0.179302984917388,8.95307247417841,0.581122760380617,0.337876222120293,0.222927819654667,4.503331831114,0.642469255685063,3.75683935338116,18.056658039892,968.222960871462,17.401560483685,0.544913777758868,0.0000000621129392476084,0.547920494894338,0.0000000599376522730823,0.548460625302445,0.481814873011661,"Unreliable"
"SA0055","D093","Area 55","Urban formal",14422,28,0.183614801734048,0.00129234192157433,1107.20130576185,0.333704958763333,6.7492034506123,-0.0757139819871727,0.76357197633596,0.55856834331778,1.04227796513617,0.799966429746332,0.242866019252688,13.090532477525,735.507333784925,23.8789204690158,0.652015864649794,0.000000000330405181706245,0.632964837362188,0.000000000278892735489681,0.633039885452443,0.498159826673746,"Reliable"
"SA0056","D082","Area 56","Urban formal",4018,16,0.312184602715699,0.00208209513041983,585.839477884609,0.245474223103707,9.39510237929525,-0.216238883832491,0.50547412181626,0.56017424842722,3.75711560657569,0.752154257760696,1.29690100438893,2.964992611669,626.713549089858,19.6602600407607,0.57795766142132,0.00000000217903222829811,0.555142483003315,0.00000000187851229834117,0.555247808163124,0.48225511891703,"Use with caution"
"SA0057","D057","Area 57","Urban formal",1774,15,0.383239301729699,0.00413467808878231,2679.45369780047,0.0402660354196646,0.987753010052182,-0.270254800238573,0.66164505572403,0.413601235658518,14.0920579771198,0.374357771381497,0.402655079960823,2.56500744726509,714.247053301114,16.4749733625194,0.708802442591833,0.0000000279168057523274,0.699727296317195,0.0000000291759491520736,0.700268350358984,0.604780897940946,"Reliable"
"SA0058","D138","Area 58","Industrial",11451,50,0.190292777601219,0.00247510183775982,1375.53454759738,0.100999363406366,10.188183027085,2.19107713125778,1.0932334728491,0.295566178253544,12.3511937093772,0.818342332588243,6.3188980843634,25.9916784415457,950.521954438919,23.2322532321993,0.502596612606317,0.00000000383049396282457,0.525373088418899,0.00000000375064808846624,0.525578362943437,0.424848995173595,"Reliable"
"SA0059","D094","Area 59","Commercial",7173,93,0.0843174792511573,0.00812560009520594,932.11638143456,0.143636746352901,4.501142862012,-0.106829919935407,1.15388952039122,0.711162545407644,11.9954851381893,0.532379081487796,3.46952657194293,15.9750475896298,718.268489228441,23.0906555237468,0.586067164669869,0.000000410721194328692,0.621015644749078,0.000000433075641329116,0.624559214615319,0.460006195099702,"Reliable"
"SA0060","D018","Area 60","Rural village",16375,44,0.487766594342116,0.00463977388897812,4403.63091666957,0.287431136698103,11.5237269304281,-0.656702016072113,0.774144071269562,0.521423037091583,3.0639160500999,0.82107331283934,11.2808263761209,3.48364213947207,752.854491633601,24.0730498582726,0.466490368137508,0.0000000374431630456424,0.453340396156885,0.0000000462437818108567,0.453266285152748,0.463668255612454,"Reliable"
"SA0061","D150","Area 61","Industrial",5871,51,0.320208800866314,0.000834082227701659,2171.10651670678,0.102602567850955,5.67855745036513,0.211507714648953,0.785412936967158,0.425913731356962,3.71255484818392,0.336909496848473,2.34079018468037,1.47864944565886,852.617555864948,22.36170085646,0.63081373316564,0.0000000000421289345193415,0.630553105095484,0.0000000000483955308003658,0.630574695536534,0.537449813826733,"Reliable"
"SA0062","D119","Area 62","Rural village",587,98,0.191056395862828,0.00239724829254469,532.079146253079,0.0203075764757265,9.38084093042531,-2.54608955263533,1.24261015174218,0.603176224277812,5.88753992984624,0.466537304436528,12.1314435352789,8.62791128689281,1030.18090143723,26.5881587576101,0.456217551826242,0.00000000270155593832652,0.494644689920603,0.0000000033006734760967,0.494819156022492,0.403568201703271,"Reliable"
"SA0063","D021","Area 63","Urban informal",4551,99,0.144316803849281,0.00696532963338409,257.223797237302,0.0242067062292468,10.1278489676306,1.26194699135927,1.22913099253649,0.433428126112179,14.916630066627,0.7944990470392,7.9619283690573,1.49951812459408,698.939742736062,24.3334952082187,0.458480804361854,0.000000212368132912549,0.482608511569631,0.000000234242004742636,0.484249761424743,0.381120999253526,"Unreliable"
"SA0064","D128","Area 64","Industrial",28706,91,0.361309182231751,0.00544072090028902,2158.6737143876,0.0330606502297244,9.8420292083285,0.654363124234425,0.797286215309669,0.354364735042939,5.11766328815598,0.343100572704467,1.24440780375153,29.8998182995205,1283.98165774614,20.5126075707455,0.463825177942618,0.0000000699134643456748,0.449791547501255,0.0000000873659324095232,0.450053468078553,0.423246837920404,"Reliable"
"SA0065","D102","Area 65","Urban informal",368,75,0.220564497298382,0.00109063561703096,816.672908756859,0.233097044521245,6.0575551216321,0.521016555714791,0.77171534346821,0.759971563435991,13.7558261574329,0.556086975466094,1.80651740403846,2.35671401770267,559.582091169922,19.4074449522279,0.678533464236589,0.000000000125508373219149,0.669536061046222,0.000000000141470878345422,0.669589465587376,0.53484459192187,"Reliable"
"SA0066","D141","Area 66","Urban formal",7576,31,0.435152281492039,0.00209599675744991,539.545291908658,0.116940391877411,6.60110284166524,0.392035792697015,0.623691497960051,0.632840347642453,0.179478816666,0.595201754655068,7.69561591516149,7.48116092627062,689.063494136356,23.2882725788232,0.650873828895245,0.00000000195723025672027,0.640320254270546,0.00000000192917521337926,0.640410388713736,0.578769862436994,"Reliable"
"SA0067","D133","Area 67","Industrial",2260,46,0.233466407456985,0.00516631237312892,648.537217639722,0.131323783864716,4.80816132691912,0.397068925229716,1.16740733011732,0.521180602867831,5.55396984315272,0.447440435659514,0.526698201429099,4.61360462941229,963.34814196869,21.8418694201692,0.761599190950741,0.0000000844265244630677,0.738649091813812,0.0000000710501541520649,0.73999746398128,0.587094286506764,"Unreliable"
"SA0068","D070","Area 68","Rural scattered",1226,72,0.420777140898858,0.00711853761913037,558.629468453935,0.0208087338975214,8.31525561924664,-0.667081898597252,0.611023199090583,0.549171724094904,44.7911625667659,0.558963553556407,9.04997251930324,3.75765297096223,1152.75619640511,20.3376282766754,0.602481221221891,0.000000284266437882981,0.637185531480886,0.000000255486507517273,0.638282150223316,0.572263014306278,"Unreliable"
