"ea_id","country","province_code","district_code","stratum","urban_rural","ea_type","total_households","total_population","households_listed","longitude","latitude","elevation","road_distance_km","health_facility_km","school_km","market_km","mobile_coverage","accessibility","last_census_year","listing_date","selection_probability","psu_weight","quality_flag"
"EA00011","Eswatini","P1","D8","Eswatini_Urban","Urban","Formal",206,1058,203,32.5044305576012,-5.79909547930583,526,75.5102083044958,19.6522317632082,0.758467284031212,5.37121126890857,"3G","Easy",2022,2023-12-27,0.000388179007053175,2576.13106796117,0
"EA00012","Eswatini","P7","D7","Eswatini_Urban","Urban","Formal",200,1074,193,15.8441137662157,-15.4270040686242,1235,35.1989252937442,10.8010203200848,6.43632545580572,48.1031708766646,"4G","Easy",2022,2023-02-13,0.000376872822381723,2653.415,0
"EA00013","Comoros","P7","D24","Comoros_Rural","Rural","Village",62,311,61,17.6847295230255,-5.61278787208721,815,46.0747138406013,2.8448162519393,2.19567752908915,5.78407714376226,"4G","Moderate",2022,2023-09-08,0.000116830574938334,8559.40322580645,0
"EA00014","DRC","P8","D23","DRC_Rural","Rural","Village",109,447,114,27.7534876065329,-10.4357875604182,1690,14.6333169890568,14.2168563323097,1.96615736419934,15.7725751021164,"4G","Difficult",2022,2023-10-11,0.000205395688198039,4868.65137614679,0
"EA00015","Botswana","P5","D18","Botswana_Rural","Rural","Village",61,205,60,32.4724381510168,-23.3696179743856,909,28.7679629855532,1.49015502925363,1.00000615930185,7.46516321087256,"3G","Difficult",2022,2023-07-02,0.000114946210826426,8699.72131147541,0
"EA00016","Lesotho","P1","D24","Lesotho_Rural","Rural","Village",105,429,99,30.3893151553348,-25.2564833126962,1050,8.93750624964014,19.3174491647936,3.49900175330645,0.345113715156913,"3G","Easy",2022,2023-12-09,0.000197858231750405,5054.12380952381,0
"EA00017","Angola","P6","D9","Angola_Rural","Rural","Settlement",107,512,101,15.8913816185668,-22.5924146221951,356,27.5941190764982,3.81403036415577,0.319049048731372,0.223654912363144,"4G","Easy",2022,2023-06-07,0.000201626959974222,4959.65420560748,0
"EA00018","Lesotho","P3","D4","Lesotho_Urban","Urban","Formal",236,819,233,30.8299925969914,-10.2437892905436,466,14.0216055326164,2.83195106312633,2.34424674760873,18.861203546937,"4G","Easy",2022,2023-12-05,0.000444709930410433,2248.65677966102,0
"EA00019","Angola","P5","D10","Angola_Urban","Urban","Formal",164,711,155,23.6022207746282,-27.4794780486263,1227,32.7904796915802,29.8721906525974,8.55203541676786,0.812009477522224,"4G","Easy",2022,2023-05-31,0.000309035714353013,3235.87195121951,0
"EA00020","Botswana","P2","D13","Botswana_Rural","Rural","Settlement",84,361,85,23.192805792205,-21.2257018918172,445,44.3548727883191,18.4604281737449,22.1207551086757,0.164268014486879,"2G","Easy",2022,2023-08-05,0.000158286585400324,6317.65476190476,0
"EA00021","Angola","P7","D17","Angola_Rural","Rural","Farm",51,161,49,31.5924345143139,-32.1648913668469,676,45.7403146175152,4.43691727239639,14.3823274374388,15.9268846961888,"3G","Easy",2022,2023-10-04,0.0000961025697073394,10405.5490196078,0
"EA00022","Angola","P6","D6","Angola_Urban","Urban","Informal",131,603,127,28.1371702067554,-6.81883514393121,1251,21.1156080699268,4.76199905388057,16.3577325399481,15.8499288366394,"3G","Easy",2022,2023-04-14,0.000246851698660029,4051.01526717557,0
"EA00023","Comoros","P5","D7","Comoros_Rural","Rural","Village",91,337,89,33.3187315938994,-30.3072943491861,1121,2.49964171574003,34.0831413848286,1.40199217403524,17.0161937031181,"None","Difficult",2022,2023-06-07,0.000171477134183684,5831.68131868132,1
"EA00024","Lesotho","P3","D15","Lesotho_Urban","Urban","Mixed",181,585,175,27.917718347162,-8.02085891366005,687,50.2439591546959,0.732624836239406,16.4859375349226,2.65255780890584,"None","Difficult",2022,2023-02-04,0.000341069904255459,2931.95027624309,0
"EA00025","Comoros","P1","D7","Comoros_Rural","Rural","Farm",59,282,59,19.3384028133005,-5.49569234251976,699,4.77248198585585,2.75771663058549,0.243910942226648,1.69871785163743,"3G","Moderate",2022,2023-12-26,0.000111177482602608,8994.62711864407,0
"EA00026","Botswana","P8","D4","Botswana_Rural","Rural","Settlement",60,265,51,19.7755654156208,-30.2112338203005,1199,55.5037110182029,35.5080417313783,3.4944599631936,5.62041836092249,"3G","Easy",2022,2023-02-13,0.000113061846714517,8844.71666666667,0
"EA00027","DRC","P3","D8","DRC_Rural","Rural","Farm",105,390,107,21.533436300233,-33.0376141122542,3,3.40415900573134,27.6661409238789,0.393688771873713,28.481377538896,"3G","Moderate",2022,2023-09-09,0.000197858231750405,5054.12380952381,0
"EA00028","Lesotho","P8","D23","Lesotho_Rural","Rural","Village",46,190,44,32.3945558490232,-11.9931685552001,933,1.57394114648923,0.161259606815731,11.7557936232455,7.85837207688019,"4G","Easy",2022,2023-08-26,0.0000866807491477963,11536.5869565217,1
"EA00029","Angola","P8","D19","Angola_Rural","Rural","Farm",71,308,74,27.4338960414752,-11.6320172278211,986,33.3790854074735,1.0522204554541,4.60891599003853,36.2853513646723,"2G","Easy",2022,2023-03-24,0.000133789851945512,7474.40845070422,0
"EA00030","Angola","P6","D17","Angola_Rural","Rural","Village",30,161,29,18.0932073481381,-8.30987296998501,333,1.86038501999484,14.5700279801133,6.32777283878482,5.07689977918585,"3G","Easy",2022,2023-06-11,0.0000565309233572585,17689.4333333333,0
"EA00031","Botswana","P2","D24","Botswana_Rural","Rural","Village",112,476,114,30.667589479126,-28.4967389260419,657,1.36598450718385,7.14349634903383,5.42039928382309,19.4148287263917,"None","Moderate",2022,2023-12-03,0.000211048780533765,4738.24107142857,0
"EA00032","Botswana","P7","D17","Botswana_Urban","Urban","Formal",205,630,185,20.1645639818162,-26.1972188740037,28,25.1420816396105,11.8150085299732,3.94866594313326,28.4830341941181,"4G","Easy",2022,2023-02-04,0.000386294642941266,2588.69756097561,0
"EA00033","Angola","P1","D16","Angola_Rural","Rural","Village",115,429,113,30.1598840998486,-22.1352712181397,680,45.0293964685357,3.1726278597489,1.32285747950025,0.578358394559473,"None","Easy",2022,2023-11-13,0.000216701872869491,4614.6347826087,0
"EA00034","Eswatini","P7","D14","Eswatini_Rural","Rural","Farm",53,166,53,31.4427831396461,-24.0831839409657,233,21.1051919719878,2.01606937887411,1.94474522490054,9.63743441272527,"None","Difficult",2022,2023-11-09,0.0000998712979311566,10012.8867924528,0
"EA00035","Comoros","P1","D19","Comoros_Rural","Rural","Village",38,165,36,31.5628794953227,-21.8707647779956,1300,38.5322342140085,0.859834449365735,5.06114131750024,0.762008833698928,"3G","Difficult",2022,2023-07-12,0.0000716058362525274,13965.3421052632,0
"EA00036","Comoros","P1","D13","Comoros_Rural","Rural","Village",96,349,94,18.5027105268091,-14.3442124943249,875,51.0269442552185,17.1919147676134,1.52728022541851,32.9327927263559,"None","Difficult",2022,2023-01-27,0.000180898954743227,5527.94791666667,0
"EA00037","Angola","P8","D21","Angola_Rural","Rural","Village",83,440,80,22.9436635179445,-7.86302181659266,877,15.8795317751355,12.3620128813655,10.2879165946962,22.4932652474075,"3G","Moderate",2022,2023-05-26,0.000156402221288415,6393.77108433735,0
"EA00038","Eswatini","P6","D10","Eswatini_Urban","Urban","Informal",227,1088,227,27.2535938443616,-31.4648131257854,1023,5.88703765533864,2.59873214177787,7.82557640182686,10.2233581384644,"4G","Moderate",2022,2023-11-05,0.000427750653403256,2337.81057268722,0
"EA00039","Angola","P4","D17","Angola_Rural","Rural","Village",54,203,49,30.27662509121,-7.05690043047071,540,17.1592242084444,0.422167595404446,2.21652085210917,2.81332428211289,"2G","Moderate",2022,2023-05-01,0.000101755662043065,9827.46296296296,0
"EA00040","DRC","P3","D15","DRC_Urban","Urban","Formal",188,939,178,26.6614007297903,-17.1435545338318,1128,25.1983454673293,13.0702808308871,11.5898858135082,57.0957260640496,"3G","Difficult",2022,2023-01-14,0.00035426045303882,2822.78191489362,0
"EA00041","Lesotho","P7","D22","Lesotho_Rural","Rural","Village",81,398,81,15.2550655882806,-23.6146878637373,1498,66.3076276439458,65.9676550104659,2.06418416230008,4.3745940271765,"4G","Easy",2022,2023-12-31,0.000152633493064598,6551.64197530864,0
"EA00042","Eswatini","P2","D6","Eswatini_Rural","Rural","Farm",117,413,115,NA,NA,851,17.9845744347843,3.11093346442683,5.62979131182423,3.2564058582828,"3G","Moderate",2022,2023-09-21,0.000220470601093308,4535.75213675214,0
"EA00043","DRC","P8","D9","DRC_Rural","Rural","Village",50,172,50,27.2259793523699,-23.9380615623668,962,5.12807190468374,2.014503963039,2.76962083764374,10.1393279875629,"4G","Easy",2022,2023-10-03,0.0000942182055954308,10613.66,0
"EA00044","Botswana","P7","D20","Botswana_Rural","Rural","Farm",71,277,76,16.5221640281379,-27.4691407871433,247,6.11997458985987,1.26569528132677,5.27913575970984,36.4689034646521,"3G","Easy",2022,2023-06-17,0.000133789851945512,7474.40845070422,0
"EA00045","Lesotho","P4","D5","Lesotho_Urban","Urban","Formal",119,514,119,28.0422704853117,-28.2912034215406,206,10.3323748102412,0.132431005511806,9.46077038980172,27.5700436942497,"3G","Moderate",2022,2023-02-14,0.000224239329317125,4459.52100840336,0
"EA00046","Botswana","P7","D7","Botswana_Rural","Rural","Settlement",78,336,75,19.692594408989,-8.21159090846777,593,1.51495689060539,8.93114166292262,9.77534864055824,10.1055625942536,"4G","Easy",2022,2023-02-13,0.000146980400728872,6803.62820512821,0
"EA00047","Botswana","P3","D14","Botswana_Urban","Urban","Mixed",138,709,122,16.6638564271852,-7.64686428243294,437,97.8435185029618,1.04712687432766,1.40958400676027,35.0066401907216,"3G","Moderate",2022,2023-12-19,0.000260042247443389,3845.52898550725,0
"EA00048","Botswana","P7","D3","Botswana_Rural","Rural","Village",114,502,113,27.607106002979,-6.69291066238657,1141,16.5323045104742,16.0878840639236,4.36772527617818,8.48929128123703,"4G","Easy",2022,2023-10-18,0.000214817508757582,4655.11403508772,0
"EA00049","Comoros","P3","D6","Comoros_Rural","Rural","Village",85,408,87,26.6500774491578,-19.9850496463478,1010,31.9022842202359,1.48863431247241,0.41325069963932,26.534419011927,"None","Moderate",2022,2023-06-27,0.000160170949512232,6243.32941176471,0
"EA00050","Comoros","P4","D2","Comoros_Rural","Rural","Village",64,233,59,20.1675261557102,-24.9857880105264,1372,21.1934895244169,4.53571918160138,4.0684221217171,0.477460802067071,"3G","Easy",2022,2023-12-06,0.000120599303162151,8291.921875,0
"EA00051","Angola","P4","D12","Angola_Rural","Rural","Settlement",113,577,116,15.4537855926901,-7.14707935694605,1208,77.7425792026234,11.4429279785128,5.48107373507178,19.6907516329767,"2G","Moderate",2022,2023-04-21,0.000212933144645674,4696.30973451327,0
"EA00052","Comoros","P4","D10","Comoros_Urban","Urban","Formal",270,1085,256,33.095462732017,-19.5502501539886,1327,12.2996571791804,5.85742397699505,42.6879406070666,29.5812868873093,"None","Moderate",2022,2023-10-11,0.000508778310215326,1965.49259259259,0
"EA00053","DRC","P4","D19","DRC_Rural","Rural","Village",86,367,91,34.0870587760583,-22.1953932405449,465,23.9806969639587,4.30078835226595,4.50489528970556,19.5121033110874,"3G","Very Difficult",2022,2023-05-08,0.000162055313624141,6170.73255813954,0
"EA00054","DRC","P8","D18","DRC_Rural","Rural","Village",107,436,93,34.1157545056194,-9.1630698624067,1101,28.5535751965506,28.7914952618961,27.1065022874821,1.96621803799644,"2G","Easy",2022,2023-12-19,0.000201626959974222,4959.65420560748,0
"EA00055","Comoros","P7","D19","Comoros_Urban","Urban","Formal",207,785,191,23.5643932130188,-12.1363459061831,75,38.7900792972601,5.92337874695659,2.14194861007854,12.2668745408984,"4G","Moderate",2022,2023-10-28,0.000390063371165083,2563.68599033816,0
"EA00056","Comoros","P3","D20","Comoros_Rural","Rural","Settlement",69,357,67,31.8345010839403,-10.5851816921495,249,24.6195339544864,6.88478991389275,4.55128087874018,35.7288418598195,"3G","Easy",2022,2023-01-08,0.000130021123721695,7691.05797101449,0
"EA00057","Angola","P3","D2","Angola_Rural","Rural","Village",63,299,60,25.1863139867783,-22.3320651100948,1539,6.19581192425863,11.4667555871875,2.02602313048533,3.59549653949216,"2G","Easy",2022,2023-08-20,0.000118714939050243,8423.53968253968,0
"EA00058","Angola","P8","D1","Angola_Rural","Rural","Settlement",95,449,102,31.6963862022385,-31.1093003675342,923,57.6583167972201,5.88533152535335,2.47294725850224,11.8836878746035,"None","Easy",2022,2023-02-23,0.000179014590631319,5586.13684210526,0
"EA00059","DRC","P8","D16","DRC_Urban","Urban","Informal",230,968,249,34.9347410397604,-13.4353510197252,944,3.47165132882128,8.43189981423824,23.2652556324813,6.2750278506428,"4G","Easy",2022,2023-10-22,0.000433403745738982,2307.31739130435,0
"EA00060","Botswana","P7","D24","Botswana_Rural","Rural","Village",113,396,113,30.079491334036,-13.0095581407659,848,32.7611613542515,0.0931977064892929,5.26200051864094,5.26771480889829,"4G","Easy",2022,2023-04-06,0.000212933144645674,4696.30973451327,0
"EA00061","Angola","P1","D5","Angola_Urban","Urban","Mixed",184,932,163,22.0877669891343,-31.7125402600504,568,31.7209622113708,3.64562497939914,2.41481481585652,9.76586583768949,"2G","Easy",2022,2023-03-03,0.000346722996591185,2884.14673913043,0
"EA00062","Botswana","P1","D22","Botswana_Urban","Urban","Informal",226,759,203,16.398556176573,-9.04764654347673,469,21.9207058058669,19.3047901793363,1.77542627556249,14.9348828655885,"4G","Easy",2022,2023-01-03,0.000425866289291347,2348.15486725664,1
"EA00063","Botswana","P6","D5","Botswana_Rural","Rural","Village",129,561,133,24.403221947141,-13.4771720226854,520,33.5255020287562,24.0092273424776,5.63651647863394,9.47937856893986,"2G","Moderate",2022,2023-03-17,0.000243082970436211,4113.82170542636,0
"EA00064","DRC","P4","D20","DRC_Urban","Urban","Informal",137,578,142,16.7524015950039,-7.60584169067442,1287,117.075615835594,6.71041054651141,0.94520258018747,20.2703049167277,"None","Easy",2022,2023-07-15,0.00025815788333148,3873.59854014599,0
"EA00065","Botswana","P5","D24","Botswana_Rural","Rural","Settlement",83,356,82,34.1359045868739,-5.5764270783402,886,9.58650348475203,4.90469802636653,1.15223438194859,24.2864605864946,"3G","Moderate",2022,2023-10-26,0.000156402221288415,6393.77108433735,0
"EA00066","Lesotho","P2","D12","Lesotho_Rural","Rural","Settlement",58,251,58,17.96645632945,-27.5294023822062,1526,54.3420176647759,3.63125664942604,4.70471542307591,23.4930143869438,"3G","Easy",2022,2023-11-29,0.0001092931184907,9149.70689655172,0
"EA00067","Lesotho","P5","D15","Lesotho_Urban","Urban","Formal",67,281,72,24.8132293764502,-19.6901174285449,733,23.4577122266419,4.54479496807203,0.607629403838127,13.6645784222739,"3G","Moderate",2022,2023-02-22,0.000126252395497877,7920.64179104478,0
"EA00068","Comoros","P5","D19","Comoros_Rural","Rural","Farm",98,401,99,29.2106314469129,-22.7162955119275,1017,62.8590540596481,11.729681668383,0.489233963379891,40.0290671437701,"3G","Moderate",2022,2023-09-27,0.000184667682967044,5415.13265306122,0
"EA00069","Botswana","P3","D20","Botswana_Rural","Rural","Settlement",35,150,35,20.173556022346,-19.2495367769152,569,7.61668433827577,0.233163833618164,0.483942567370832,3.93929924815893,"4G","Moderate",2022,2023-09-05,0.0000659527439168016,15162.3714285714,0
"EA00070","Botswana","P8","D2","Botswana_Rural","Rural","Farm",45,206,43,26.9115076772869,-12.9489919892512,854,5.75743562029379,1.24717437757548,0.51912578754127,11.9098167953299,"None","Moderate",2022,2023-12-29,0.0000847963850358877,11792.9555555556,0
"EA00071","Comoros","P7","D7","Comoros_Urban","Urban","Formal",128,709,117,NA,NA,956,3.19549536798149,33.7172269804363,0.649738430218225,3.16402678610757,"3G","Easy",2022,2023-06-09,0.000241198606324303,4145.9609375,0
"EA00072","Angola","P5","D10","Angola_Rural","Rural","Settlement",104,448,101,23.7037410400808,-21.6751504712738,960,56.7054433631505,1.66615303140134,2.94601412722841,3.20959056727588,"3G","Moderate",2022,2023-01-20,0.000195973867638496,5102.72115384615,0
"EA00073","DRC","P2","D11","DRC_Rural","Rural","Village",77,246,80,34.6085470961407,-12.9917959589511,488,14.5212936797179,3.03567225027045,0.450953852850944,5.51268101669848,"3G","Easy",2022,2023-02-24,0.000145096036616963,6891.98701298701,0
"EA00074","Botswana","P3","D1","Botswana_Urban","Urban","Mixed",96,336,90,15.5711538065225,-6.85543918050826,385,63.3171165796155,12.8563743359865,12.2867814352022,9.85828755889088,"3G","Easy",2022,2023-06-25,0.000180898954743227,5527.94791666667,0
"EA00075","Botswana","P6","D19","Botswana_Rural","Rural","Settlement",112,358,111,24.1836399957538,-22.8562389709987,1097,34.2739267962727,5.1848257239908,2.17142599169165,61.5038585724467,"4G","Easy",2022,2023-03-21,0.000211048780533765,4738.24107142857,0
"EA00076","Comoros","P7","D15","Comoros_Rural","Rural","Settlement",49,191,52,21.8184149544686,-28.2920234161429,758,17.745444167548,25.4378222475264,0.516410230193287,7.98883788054809,"2G","Difficult",2022,2023-11-27,0.0000923338414835222,10830.2653061224,0
"EA00077","Botswana","P3","D17","Botswana_Rural","Rural","Farm",84,221,82,16.870240829885,-14.7025355510414,1163,2.43853706633672,11.1534260116042,9.4845293271811,45.4931563113756,"3G","Moderate",2022,2023-03-06,0.000158286585400324,6317.65476190476,0
"EA00078","Angola","P8","D17","Angola_Urban","Urban","Formal",113,558,107,18.7201159447432,-22.1173381991684,1586,53.5192861398149,16.3751138567013,0.620594151630256,35.944082874777,"2G","Very Difficult",2022,2023-10-11,0.000212933144645674,4696.30973451327,0
"EA00079","Comoros","P2","D25","Comoros_Rural","Rural","Village",90,391,84,19.7518002334982,-26.3441373058595,931,16.3731237291358,5.15100522432476,3.72418674338821,1.76102496220899,"None","Moderate",2022,2023-05-10,0.000169592770071775,5896.47777777778,0
"EA00080","Angola","P3","D21","Angola_Rural","Rural","Village",61,279,63,22.497582109645,-32.1772818593308,301,16.5914046578109,4.56302520819008,2.76397125575985,0.0360887043623963,"4G","Moderate",2022,2023-12-23,0.000114946210826426,8699.72131147541,0
"EA00081","Angola","P4","D25","Angola_Urban","Urban","Formal",151,567,155,24.9055889528245,-26.0558165726252,1064,13.8898036209866,3.82206937858242,4.40353735794729,13.5485092218252,"None","Very Difficult",2022,2023-07-30,0.000284538980898201,3514.45695364238,0
"EA00082","Angola","P2","D3","Angola_Rural","Rural","Village",108,420,105,26.7208082275465,-27.1234574867412,1134,45.840081151337,2.96471454295223,3.52868147173381,20.6898747285115,"3G","Easy",2022,2023-06-14,0.000203511324086131,4913.73148148148,0
"EA00083","DRC","P6","D18","DRC_Rural","Rural","Farm",87,336,87,25.7716054050252,-21.8564194091596,602,7.17942119808868,8.25985733250076,1.02529687434348,5.07905958686024,"4G","Moderate",2022,2023-07-20,0.00016393967773605,6099.80459770115,0
"EA00084","Angola","P1","D2","Angola_Urban","Urban","Informal",117,541,115,31.6874557035044,-11.5059234038927,1121,1.95152016822249,11.17275130893,0.752945500425994,4.6933525800705,"4G","Difficult",2022,2023-04-21,0.000220470601093308,4535.75213675214,0
"EA00085","Comoros","P6","D20","Comoros_Rural","Rural","Village",52,233,53,31.6458476195112,-6.51441607857123,796,58.0144957366684,6.56645744573325,1.03243397310042,6.17234481848877,"2G","Moderate",2022,2023-09-19,0.000097986933819248,10205.4423076923,0
"EA00086","DRC","P4","D23","DRC_Rural","Rural","Village",96,525,101,25.2843284094706,-11.9252201891504,471,11.5884087048471,2.83310357472454,0.196404359303415,8.90593762043864,"None","Very Difficult",2022,2023-10-06,0.000180898954743227,5527.94791666667,0
"EA00087","Eswatini","P1","D14","Eswatini_Urban","Urban","Informal",134,518,138,24.8468632996082,-21.8296142993495,949,69.464334468813,4.56630376633257,0.766143556684256,41.2910995147845,"4G","Easy",2022,2023-07-18,0.000252504790995755,3960.32089552239,0
"EA00088","Botswana","P2","D22","Botswana_Rural","Rural","Farm",20,99,20,28.7249331455678,-24.9535627150908,445,45.310115176572,2.34293031713969,0.260666692629457,13.812859779525,"None","Moderate",2022,2023-01-18,0.0000376872822381723,26534.15,0
"EA00089","Angola","P5","D16","Angola_Rural","Rural","Settlement",95,442,101,17.0752515131608,-10.9589065797627,731,52.9476241507628,5.00133792869747,2.32360696187243,2.73438387522638,"2G","Moderate",2022,2023-06-29,0.000179014590631319,5586.13684210526,0
"EA00090","Lesotho","P4","D13","Lesotho_Urban","Urban","Formal",168,562,155,NA,NA,1269,4.46635882835835,5.87174865882844,5.43007800334549,10.3422424569726,"3G","Difficult",2022,2023-05-17,0.000316573170800647,3158.82738095238,0
"EA00091","DRC","P2","D21","DRC_Rural","Rural","Village",109,481,101,27.5575549947098,-21.9098248449154,1098,75.1690283375693,13.8708843282404,1.34058594782344,6.15793774137273,"4G","Difficult",2022,2023-10-16,0.000205395688198039,4868.65137614679,0
"EA00092","Eswatini","P1","D23","Eswatini_Urban","Urban","Formal",204,818,205,NA,NA,402,0.711872102692723,0.924914418719709,2.97700701514259,4.1281163552776,"None","Very Difficult",2022,2023-08-20,0.000384410278829358,2601.38725490196,1
"EA00093","DRC","P7","D9","DRC_Rural","Rural","Settlement",68,247,71,33.9311628974974,-12.6773946336471,1263,31.4214805384425,14.5680728727229,10.122786508453,12.0913071045718,"2G","Moderate",2022,2023-02-05,0.000128136759609786,7804.16176470588,0
"EA00094","Angola","P3","D15","Angola_Rural","Rural","Village",71,247,64,32.5944598764181,-15.4549882886931,264,65.5153437951738,5.63228480983526,4.06499325276768,34.0765372924229,"3G","Difficult",2022,2023-12-07,0.000133789851945512,7474.40845070422,0
"EA00095","Comoros","P1","D7","Comoros_Urban","Urban","Informal",65,381,68,27.8849322395399,-15.3495066263713,1865,11.4226202052529,0.999804498936173,0.27022851863876,11.16576161252,"3G","Difficult",2022,2023-10-15,0.00012248366727406,8164.35384615385,0
"EA00096","Angola","P5","D2","Angola_Rural","Rural","Farm",93,303,83,26.7509326664731,-22.2926071472466,1082,18.0082137918773,21.0112980811667,1.62509661866352,14.5709386461632,"4G","Easy",2022,2023-01-27,0.000175245862407501,5706.2688172043,0
"EA00097","Comoros","P6","D25","Comoros_Urban","Urban","Informal",134,630,125,29.2463613301516,-22.642489138525,383,9.05490316288888,2.55351499342829,6.01153520846224,5.47068228246644,"2G","Easy",2022,2023-02-22,0.000252504790995755,3960.32089552239,0
"EA00098","DRC","P4","D2","DRC_Urban","Urban","Formal",227,727,215,18.1085106963292,-22.8611455345526,1605,59.349055055513,11.4518592781843,6.31528674603856,18.9960277569884,"4G","Easy",2022,2023-11-23,0.000427750653403256,2337.81057268722,0
"EA00099","Eswatini","P5","D4","Eswatini_Urban","Urban","Informal",127,638,120,23.0943006742746,-27.4771957052872,800,11.8666791007854,1.69706196989864,1.86687136301771,17.4463877660144,"3G","Easy",2022,2023-06-11,0.000239314242212394,4178.6062992126,0
"EA00100","DRC","P4","D15","DRC_Urban","Urban","Formal",139,616,141,16.0212408471853,-24.5602861512452,893,15.2553085237741,22.0084616715524,4.35869742586375,24.309022060315,"4G","Moderate",2022,2023-05-15,0.000261926611555298,3817.86330935252,0
"EA00101","Botswana","P8","D25","Botswana_Rural","Rural","Settlement",111,429,111,30.6906081316993,-18.3614957192913,-42,3.60122834099457,14.7196271075847,0.0105847761451393,19.5374718954073,"None","Moderate",2022,2023-02-19,0.000209164416421856,4780.92792792793,0
"EA00102","Comoros","P5","D11","Comoros_Rural","Rural","Village",88,291,85,21.2408981332555,-11.0148381255567,1327,73.4741051191291,12.3791003223033,10.8630355569701,15.5550449845163,"3G","Moderate",2022,2023-03-18,0.000165824041847958,6030.48863636364,0
"EA00103","Angola","P1","D22","Angola_Rural","Rural","Settlement",79,214,71,31.2103467201814,-31.8113751010969,1083,26.0472211277786,25.5573377025199,1.80793598098041,20.8262076354164,"3G","Moderate",2022,2023-05-31,0.000148864764840781,6717.50632911392,0
"EA00104","DRC","P6","D12","DRC_Rural","Rural","Village",92,355,94,25.7751315040514,-21.0409851139411,1146,3.74991793651134,2.81299693044275,4.43002398104823,5.82226547179744,"None","Difficult",2022,2023-05-14,0.000173361498295593,5768.29347826087,0
"EA00105","Botswana","P4","D9","Botswana_Urban","Urban","Informal",165,528,179,30.0237982394174,-7.65969984699041,439,10.4738984732464,18.1162382653894,7.81359110916865,12.3744666197555,"None","Moderate",2022,2023-04-05,0.000310920078464922,3216.26060606061,0
"EA00106","Lesotho","P1","D18","Lesotho_Urban","Urban","Mixed",237,1082,238,27.4855899857357,-23.4667785302736,20,18.7850839639788,1.36145508382469,11.4603005250202,53.6473390927255,"4G","Moderate",2022,2023-01-28,0.000446594294522342,2239.16877637131,0
"EA00107","Angola","P1","D6","Angola_Urban","Urban","Formal",84,270,79,18.5651343362406,-16.653451398015,614,49.5432311182326,1.77678150124848,3.23418116662651,13.3649318943115,"2G","Easy",2022,2023-10-01,0.000158286585400324,6317.65476190476,0
